SantaID,Santa_Event,Santa_Tag,Santa_INI,Santa_END,Santa_Recombinant,santa_popSize,santa_mutationRate,santa_recombProb,santa_dualInfectProb,santa_genCount,santa_sampleSize,RDP_Event_ID,RDP_INI,RDP_END,RDP_Breakpoints,RDP_Recombinant,RDP_Minor,RDP_Major,INI_Difference,END_Difference,Total_Difference,Overlap_Percentage,Fragment_Size,Dynamic_Tolerance,Tolerance_Percent,Source_Tab,Match_Type,Validation,Recombinant_Match_Quality,Quality_Score,Jaccard_Similarity,Sequence_Ratio,Sequence_Coverage,Santa_Recombinant_Count,RDP_Recombinant_Count,Covered_Sequences,Breakpoint_Score,Overlap_Score,Santa_Breakpoint,Santa_Size,Santa_Seqs_Count,Santa_Recombinant_Full,Santa_Recombinant_List,Chain_Score,Start_Score,End_Score,Continuity_Score,Recombinant_Score,Seq_Ratio,Seq_Ratio_%,Reaches_Santa_End,Reaches_End,Reaches_Start,RDP_Recombinant_Full,RDP_Recombinant_List,RDP_Tags,Chain_Length,Chain_INI,Chain_END,Start_Distance,End_Distance,Total_Gap,Chain_Logic_Valid,Logic_Validation_Msg,All_Collected_Recombinants,All_Collected_Recombinants_Count,Recombinants_List,Coverage_Percentage,Start_Gap,End_Gap,_Total_Distance,RDP_Match_Types,Tag,Santa_ID,Santa_Breakpoints,Recombinant_Match_Score,Start_End_Diff_Score,RDP_Set,Tag_Specific_Quality_Score,Tag_Rank,Global_Rank,Tag_RDP_Count,Tag_Santa_Count,Tag_Original_RDP_Count,Tag_Original_Santa_Count,Tag_Remaining_RDP,Tag_Remaining_Santa,Tag_RDP_Match_Rate,Tag_Santa_Match_Rate,RDP_Santa_Equal,Tag_Total_Original,Tag_Total_Matched,Tag_Total_Remaining
1_Recombination events.csv|4889,4889,1_Recombination events.csv,4053,5262,['23'],1000,0.0001,0.01,0.1,5000,50,6,4054,5262,4054-5262,['23'],['50'],"['48', '15', '25']",1.0,0.0,1.0,99.9172870140612,1209.0,302.2,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,58.98345740281224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4889,4053-5262,100.0,99.9,6,100.0,1,1,8,7,13,20,5,13,61.5%,35.0%,❌ Diff: RDP=8 vs Santa=7,33,15,18
96_Recombination events.csv|4850,4850,96_Recombination events.csv,5598,10000,['41'],1000,0.0001,0.01,0.1,5000,50,1,5599,9998,5599-9998,['41'],"['45', '21', '49']","['5', '35', '16', '39', '34', '23', '6', '26', '8', '24', '20', '46', '32', '29', '37', '13', '25', '44', '38', '4', '9', '11', '2', '31', '3', '22', '18', '14', '10', '43', '30', '17', '50', '28', '36', '12', '1']",1.0,2.0,3.0,99.93184915947296,4402.0,1100.5,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,58.98636983189459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,4850,5598-10000,100.0,99.7,1,100.0,1,2,2,2,2,15,0,13,100.0%,13.3%,✅ Equal,17,4,13
17_Recombination events.csv|5054,5054,17_Recombination events.csv,6930,10000,['6'],1000,0.0001,0.01,0.1,5000,50,1,6930,9994,6930-9994,['6'],"['49', '17', '39', '31', '50', '34', '3', '23', '18', '14', '11', '12']","['16', '40', '33', '21', '28', '38', '44', '45', '10', '20', '46', '32', '29']",0.0,6.0,6.0,99.80456026058631,3070.0,767.5,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,58.960912052117266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,5054,6930-10000,100.0,99.4,1,100.0,1,3,8,7,9,14,1,7,88.9%,50.0%,❌ Diff: RDP=8 vs Santa=7,23,15,8
36_Recombination events.csv|5082,5082,36_Recombination events.csv,2169,10000,['11'],1000,0.0001,0.01,0.1,5000,50,1,2181,9996,2181-9996,['11'],"['37', '13', '12', '17']","['20', '45', '42', '29']",12.0,4.0,16.0,99.8,,,,Step 2: Best Match,⭐ Excellent Match (1/1),,🎯 Perfect (1/1),56.96,100.0,1/1,100.0,1.0,1.0,1/1,96.3,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,5082,2169-10000,100.0,98.4,1,100.0,1,4,5,4,7,14,2,10,71.4%,28.6%,❌ Diff: RDP=5 vs Santa=4,21,9,12
16_Recombination events.csv|4916,4916,16_Recombination events.csv,666,1869,['42'],1000,0.0001,0.01,0.1,5000,50,1,666,1874,666-1874,['42'],"['7', '18']",['3'],0.0,5.0,5.0,100.0,1203.0,300.8,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,4916,666-1869,100.0,99.5,1,100.0,1,5,2,2,4,15,2,13,50.0%,13.3%,✅ Equal,19,4,15
36_Recombination events.csv|4998,4998,36_Recombination events.csv,7242,10000,['10'],1000,0.0001,0.01,0.1,5000,50,3,7252,9994,7252-9994,['10'],"['5', '35', '16', '23', '6', '46', '37', '13', '25', '4', '49', '27', '3', '48', '47', '17', '50', '41', '12']","['19', '31', '34', '15', '22']",10.0,6.0,16.0,99.4198694706309,2758.0,689.5,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,58.883973894126186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,4998,7242-10000,100.0,98.4,3,100.0,2,6,5,4,7,14,2,10,71.4%,28.6%,❌ Diff: RDP=5 vs Santa=4,21,9,12
93_Recombination events.csv|4978,4978,93_Recombination events.csv,1902,5850,"['43', '8']",1000,0.0001,0.01,0.1,5000,50,2,1900,5850,1900-5850,"['43', '8']","['5', '15', '23', '44', '41']","['3', '36']",2.0,0.0,2.0,100.0,3948.0,987.0,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,4978,1902-5850,100.0,99.8,2,100.0,1,7,4,4,4,13,0,9,100.0%,30.8%,✅ Equal,17,8,9
8_Recombination events.csv|4812,4812,8_Recombination events.csv,3384,10000,['12'],1000,0.0001,0.01,0.1,5000,50,1,3384,9989,3384-9989,['12'],"['40', '25', '15', '26', '44', '43', '9']","['37', '16', '34', '3', '33', '45', '46', '32']",0.0,11.0,11.0,99.83373639661427,3384.0,846.0,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,56.96674727932286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4812,3384-10000,100.0,98.9,1,100.0,1,8,3,3,5,25,2,22,60.0%,12.0%,✅ Equal,30,6,24
38_Recombination events.csv|4903,4903,38_Recombination events.csv,1578,10000,['50'],1000,0.0001,0.01,0.1,5000,50,1,1578,9984,1578-9984,['50'],"['2', '17', '23', '44', '8', '36', '32', '29']","['9', '6', '33', '39']",0.0,16.0,16.0,99.81002137259559,1578.0,394.5,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,56.96200427451912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,4903,1578-10000,100.0,98.4,1,100.0,1,9,2,2,2,18,0,16,100.0%,11.1%,✅ Equal,20,4,16
39_Recombination events.csv|4933,4933,39_Recombination events.csv,8460,10000,['3'],1000,0.0001,0.01,0.1,5000,50,2,8460,9998,8460-9998,['3'],"['43', '48', '11']",['34'],0.0,2.0,2.0,99.9,,,,Step 2: Best Match,🎯 Perfect Match (1/1),,🎯 Perfect (1/1),58.980000000000004,100.0,1/1,100.0,1.0,1.0,1/1,99.4,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,4933,8460-10000,100.0,99.8,2,100.0,1,10,10,10,11,28,1,18,90.9%,35.7%,✅ Equal,39,20,19
