,Unnamed: 0,Global_Rank,Tag_Rank,Tag_Specific_Quality_Score,Tag,Santa_ID,RDP_Event_ID,Match_Type,Source_Tab,Tag_RDP_Count,Tag_Santa_Count,Tag_Original_RDP_Count,Tag_Original_Santa_Count,Tag_Remaining_RDP,Tag_Remaining_Santa,Tag_RDP_Match_Rate,Tag_Santa_Match_Rate,RDP_Santa_Equal,Tag_Total_Original,Tag_Total_Matched,Tag_Total_Remaining,SantaID,Santa_Event,Santa_Tag,Santa_INI,Santa_END,Santa_Recombinant,santa_popSize,santa_mutationRate,santa_recombProb,santa_dualInfectProb,santa_genCount,santa_sampleSize,RDP_INI,RDP_END,RDP_Breakpoints,RDP_Recombinant,RDP_Minor,RDP_Major,INI_Difference,END_Difference,Total_Difference,Overlap_Percentage,Fragment_Size,Dynamic_Tolerance,Tolerance_Percent,Validation,Recombinant_Match_Quality,Quality_Score,Jaccard_Similarity,Sequence_Ratio,Sequence_Coverage,Santa_Recombinant_Count,RDP_Recombinant_Count,Covered_Sequences,Breakpoint_Score,Overlap_Score,Santa_Breakpoint,Santa_Size,Santa_Seqs_Count,Tolerance,Max_End_Distance,Chain_Score,Start_Score,End_Score,Continuity_Score,Recombinant_Score,Seq_Ratio,Seq_Ratio_%,Reaches_Santa_End,RDP_Tags,Chain_Length,Chain_INI,Chain_END,Start_Distance,End_Distance,Total_Gap,Chain_Logic_Valid,Logic_Validation_Msg,Quality_Check,Coverage_Percentage,Valid,Minor/Major,Start_Anchor,End_Anchor,Full_Coverage,Pre_Start_RDPs,Reaches_Start,Reaches_End,RDP_Num,Santa_Breakpoints,Display_Coverage,Display_Seq_Ratio,Structural_Score,Coverage_Score,tag,Parent_Child_Type,Matched_Value,Breakpoint_Matches,Num_Breakpoint_Matches,Avg_Distance,Total_Distance,Start_Dist,End_Dist,Recombinant_Match_Score,Start_End_Diff_Score,Chain_Bonus,Step_Priority,Match_Type_Priority,Reaches_Priority,RDP_Set,Reaches_Status
0,0,1,1,100,1,4889,6,Standard_Match,Step 1: Approximate,7,6,14,20,7,14,50.0%,30.0%,❌ Diff: RDP=7 vs Santa=6,34,13,21,1_Recombination events.csv|4889,4889,1_Recombination events.csv,4053,5262,['23'],1000,0.0001,0.01,0.1,5000,50,4054,5262,4054-5262,['23'],['50'],"['15', '48', '25']",1,0,1,99.9172870140612,1209,302.2,25,Exact Recombinant Match,,58.98345740281224,,,,,,,90,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,6,4053-5262,99.9%,100.0%,0,99.9172870140612,,,,,,,,,,100,99.9,0,1,7,0,6,❌ None
40,40,41,2,99.84984984984985,1,4925,2,Standard_Match,Step 1: Approximate,7,6,14,20,7,14,50.0%,30.0%,❌ Diff: RDP=7 vs Santa=6,34,13,21,1_Recombination events.csv|4925,4925,1_Recombination events.csv,7680,10000,"['37', '6']",1000,0.0001,0.01,0.1,5000,50,7680,9996,7680-9996,"['37', '6']",['26'],['40'],0,4,4,99.82758620689656,2320,580,25,Exact Recombinant Match,,58.96551724137932,,,,,,,90,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,2,7680-10000,99.8%,100.0%,0,99.82758620689656,,,,,,,,,,100,99.6,0,1,7,0,2,❌ None
46,46,47,3,99.7997997997998,1,4885,5,⭐ Excellent Match (1/1),Step 2: Best Match,7,6,14,20,7,14,50.0%,30.0%,❌ Diff: RDP=7 vs Santa=6,34,13,21,1_Recombination events.csv|4885,4885,1_Recombination events.csv,7941,10000,['15'],1000,0.0001,0.01,0.1,5000,50,7942,9996,7942-9996,['15'],"['35', '5', '18', '28', '29']","['21', '38', '49', '13']",1,4,5,99.8,,,,,🎯 Perfect (1/1),58.96,100,1/1,100,1,1,1/1,90,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,5,7941-10000,99.8%,100.0%,0,99.8,,,,,,,,,,100,99.5,0,1,2,0,5,❌ None
70,70,71,4,98.89889889889888,1,4915,7,✅ Complete Match (1/1),Step 2: Best Match,7,6,14,20,7,14,50.0%,30.0%,❌ Diff: RDP=7 vs Santa=6,34,13,21,1_Recombination events.csv|4915,4915,1_Recombination events.csv,9027,10000,['17'],1000,0.0001,0.01,0.1,5000,50,9008,9996,9008-9996,['17'],"['1', '16', '27']",['2'],19,4,23,99.6,,,,,🎯 Perfect (1/1),56.92,100,1/1,100,1,1,1/1,70,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,7,9027-10000,99.6%,100.0%,0,99.6,,,,,,,,,,100,97.7,0,1,3,0,7,❌ None
141,141,142,5,66.5165165165165,1,4802,3,🎯 Perfect Match (1/1),Step 2: Best Match,7,6,14,20,7,14,50.0%,30.0%,❌ Diff: RDP=7 vs Santa=6,34,13,21,1_Recombination events.csv|4802,4802,1_Recombination events.csv,6726,10000,"['15', '20', '23', '25', '30', '33', '48']",1000,0.0001,0.01,0.1,5000,50,6726,9996,6726-9996,"['20', '33', '30']",['50'],"['7', '46', '17', '43', '2', '3', '45', '34', '24']",0,4,4,99.9,,,,,✅ Complete (3/3),58.98,42.9,3/3,100,7,3,3/3,90,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,3,6726-10000,99.9%,100.0%,0,99.9,,,,,,,,,,33.33333333333333,99.6,0,1,1,0,3,❌ None
150,150,151,6,62.06206206206206,1,4812,1,✅ Complete Match (1/1),Step 2: Best Match,7,6,14,20,7,14,50.0%,30.0%,❌ Diff: RDP=7 vs Santa=6,34,13,21,1_Recombination events.csv|4812,4812,1_Recombination events.csv,7818,10000,"['15', '23', '25', '48']",1000,0.0001,0.01,0.1,5000,50,7907,9996,7907-9996,"['48', '23', '25']","['50', '30']",['15'],89,4,93,95.7,,,,,✅ Complete (3/3),56.14,75,3/3,100,4,3,3/3,70,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,7818-10000,95.7%,100.0%,0,95.7,,,,,,,,,,33.33333333333333,90.7,0,1,3,0,1,❌ None
209,209,210,7,25,1,4812,10,Case_E_Start_End,Step 1: Approximate,7,6,14,20,7,14,50.0%,30.0%,❌ Diff: RDP=7 vs Santa=6,34,13,21,1_Recombination events.csv|4812,4812,1_Recombination events.csv,7818,10000,"['15', '23', '25', '48']",1000,0.0001,0.01,0.1,5000,50,5813,7818,5813-7818,"['15', '48', '23', '25']",['17'],"['50', '39', '32', '9', '8', '40', '47', '4', '44', '22', '12']",2005,2182,4187,0,2182,545.5,25,Exact Recombinant Match,,18,,,,,,,30,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,10,7818-10000,,50.0%,0,0,,,,,,,,,,50,0,0,1,8,0,1,❌ None
10,10,11,1,100,2,4973,2,Standard_Match,Step 1: Approximate,3,3,3,11,0,8,100.0%,27.3%,✅ Equal,14,6,8,2_Recombination events.csv|4973,4973,2_Recombination events.csv,3750,5313,['10'],1000,0.0001,0.01,0.1,5000,50,3750,5314,3750-5314,['10'],"['2', '40', '42']","['44', '47']",0,1,1,100,1563,390.8,25,Exact Recombinant Match,,59,,,,,,,90,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,2,3750-5313,100.0%,100.0%,0,100,,,,,,,,,,100,99.9,0,1,7,0,2,❌ None
33,33,34,2,99.94994994994994,2,4970,3,Standard_Match,Step 1: Approximate,3,3,3,11,0,8,100.0%,27.3%,✅ Equal,14,6,8,2_Recombination events.csv|4970,4970,2_Recombination events.csv,1161,4530,['19'],1000,0.0001,0.01,0.1,5000,50,1160,4531,1160-4531,['19'],['36'],['5'],1,1,2,100,3369,842.2,25,Exact Recombinant Match,,59,,,,,,,90,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,3,1161-4530,100.0%,100.0%,0,100,,,,,,,,,,100,99.8,0,1,7,0,3,❌ None
36,36,37,3,99.8998998998999,2,4978,1,Standard_Match,Step 1: Approximate,3,3,3,11,0,8,100.0%,27.3%,✅ Equal,14,6,8,2_Recombination events.csv|4978,4978,2_Recombination events.csv,1512,9474,['11'],1000,0.0001,0.01,0.1,5000,50,1510,9475,1510-9475,['11'],['48'],['43'],2,1,3,100,2038,509.5,25,Exact Recombinant Match,,59,,,,,,,90,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,1512-9474,100.0%,100.0%,0,100,,,,,,,,,,100,99.7,0,1,7,0,1,❌ None
