SantaID,Santa_Event,Santa_Tag,Santa_INI,Santa_END,Santa_Recombinant,santa_popSize,santa_mutationRate,santa_recombProb,santa_dualInfectProb,santa_genCount,santa_sampleSize,RDP_Event_ID,RDP_INI,RDP_END,RDP_Breakpoints,RDP_Recombinant,RDP_Minor,RDP_Major,INI_Difference,END_Difference,Total_Difference,Overlap_Percentage,Fragment_Size,Dynamic_Tolerance,Tolerance_Percent,Source_Tab,Match_Type,Validation,Recombinant_Match_Quality,Quality_Score,Jaccard_Similarity,Sequence_Ratio,Sequence_Coverage,Santa_Recombinant_Count,RDP_Recombinant_Count,Covered_Sequences,Breakpoint_Score,Overlap_Score,Santa_Breakpoint,Santa_Size,Santa_Seqs_Count,Santa_Recombinant_Full,Santa_Recombinant_List,Chain_Score,Start_Score,End_Score,Continuity_Score,Recombinant_Score,Seq_Ratio,Seq_Ratio_%,Reaches_Santa_End,Reaches_End,Reaches_Start,RDP_Recombinant_Full,RDP_Recombinant_List,RDP_Tags,Chain_Length,Chain_INI,Chain_END,Start_Distance,End_Distance,Total_Gap,Chain_Logic_Valid,Logic_Validation_Msg,All_Collected_Recombinants,All_Collected_Recombinants_Count,Recombinants_List,Coverage_Percentage,Start_Gap,End_Gap,_Total_Distance,RDP_Match_Types,Tag,Santa_ID,Recombinant_Match_Score,Start_End_Diff_Score,RDP_Set,Tag_Specific_Quality_Score,Tag_Rank,Global_Rank,Tag_RDP_Count,Tag_Santa_Count,Tag_Original_RDP_Count,Tag_Original_Santa_Count,Tag_Remaining_RDP,Tag_Remaining_Santa,Tag_RDP_Match_Rate,Tag_Santa_Match_Rate,RDP_Santa_Equal,Tag_Total_Original,Tag_Total_Matched,Tag_Total_Remaining
31_Recombination events.csv|9819,9819,31_Recombination events.csv,1527,4245,['38'],1000,0.0001,0.02,0.1,5000,50,1,1528,4246,1528-4246,['38'],"['8', '45', '13', '5', '33']","['29', '1', '32']",1.0,1.0,2.0,100.0,,,,Step 2: Best Match,🎯 Perfect Match (1/1),,🎯 Perfect (1/1),59.0,100.0,1/1,100.0,1.0,1.0,1/1,99.6,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,9819,100.0,99.8,1,100.0,2,1,11,10,14,40,3,30,78.6%,25.0%,❌ Diff: RDP=11 vs Santa=10,54,21,33
58_Recombination events.csv|10067,10067,58_Recombination events.csv,8127,8577,['11'],1000,0.0001,0.02,0.1,5000,50,5,8130,8577,8130-8577,['11'],['16'],['49'],3.0,0.0,3.0,99.33333333333333,450.0,112.5,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,58.86666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,10067,100.0,99.7,5,100.0,1,2,10,9,16,46,6,37,62.5%,19.6%,❌ Diff: RDP=10 vs Santa=9,62,19,43
9_Recombination events.csv|9911,9911,9_Recombination events.csv,1611,5985,"['18', '32']",1000,0.0001,0.02,0.1,5000,50,1,1611,5986,1611-5986,"['18', '32']",['48'],"['23', '4', '17']",0.0,1.0,1.0,100.0,4374.0,1093.5,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9911,100.0,99.9,1,100.0,1,3,13,12,16,58,3,46,81.2%,20.7%,❌ Diff: RDP=13 vs Santa=12,74,25,49
89_Recombination events.csv|9865,9865,89_Recombination events.csv,7929,8415,['30'],1000,0.0001,0.02,0.1,5000,50,8,7928,8414,7928-8414,['30'],['17'],"['20', '23']",1.0,1.0,2.0,99.8,,,,Step 2: Best Match,⭐ Excellent Match (1/1),,🎯 Perfect (1/1),58.96,100.0,1/1,100.0,1.0,1.0,1/1,97.9,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,9865,100.0,99.8,8,100.0,1,4,13,12,15,63,2,51,86.7%,19.0%,❌ Diff: RDP=13 vs Santa=12,78,25,53
20_Recombination events.csv|10056,10056,20_Recombination events.csv,2049,3882,['44'],1000,0.0001,0.02,0.1,5000,50,11,2058,3918,2058-3918,['44'],['17'],"['8', '16', '28', '37', '35', '9']",9.0,36.0,45.0,99.50900163666121,1833.0,458.2,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,56.90180032733224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,10056,100.0,95.5,11,100.0,1,5,6,6,11,36,5,30,54.5%,16.7%,✅ Equal,47,12,35
63_Recombination events.csv|9830,9830,63_Recombination events.csv,3225,10000,['6'],1000,0.0001,0.02,0.1,5000,50,1,3231,9992,3231-9992,['6'],"['34', '41', '50', '25']","['20', '48', '22', '1']",6.0,8.0,14.0,99.8,,,,Step 2: Best Match,⭐ Excellent Match (1/1),,🎯 Perfect (1/1),58.96,100.0,1/1,100.0,1.0,1.0,1/1,97.8,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,9830,100.0,98.6,1,100.0,1,6,1,1,2,54,1,53,50.0%,1.9%,✅ Equal,56,2,54
88_Recombination events.csv|9816,9816,88_Recombination events.csv,5832,7710,['30'],1000,0.0001,0.02,0.1,5000,50,5,5830,7708,5830-7708,['30'],['44'],"['5', '46']",2.0,2.0,4.0,99.9,,,,Step 2: Best Match,⭐ Excellent Match (1/1),,🎯 Perfect (1/1),58.980000000000004,100.0,1/1,100.0,1.0,1.0,1/1,98.9,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,9816,100.0,99.6,5,100.0,1,7,11,10,14,57,3,47,78.6%,17.5%,❌ Diff: RDP=11 vs Santa=10,71,21,50
87_Recombination events.csv|9689,9689,87_Recombination events.csv,6978,9078,['11'],1000,0.0001,0.02,0.1,5000,50,3,6701,9160,6701-9160,['11'],"['7', '49', '37', '9', '22', '2', '46', '8', '30', '5', '1', '28', '4', '18', '35', '27', '36', '38', '15', '3', '39']",['32'],277.0,82.0,359.0,100.0,,,,Step 2: Best Match,✅ Complete Match (1/1),,🎯 Perfect (1/1),55.0,100.0,1/1,100.0,1.0,1.0,1/1,14.5,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,9689,100.0,64.1,3,100.0,1,8,2,2,4,42,2,40,50.0%,4.8%,✅ Equal,46,4,42
86_Recombination events.csv|9551,9551,86_Recombination events.csv,2895,5517,"['18', '2', '21', '39', '7']",1000,0.0001,0.02,0.1,5000,50,1,2896,5518,2896-5518,"['18', '2', '39']","['19', '11']",['6'],1.0,1.0,2.0,100.0,,,,Step 2: Best Match,🎯 Perfect Match (1/1),,✅ Complete (3/3),59.0,60.0,3/3,100.0,5.0,3.0,3/3,99.6,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,9551,66.66666666666666,99.8,1,100.0,1,9,5,5,16,45,11,40,31.2%,11.1%,✅ Equal,61,10,51
65_Recombination events.csv|9870,9870,65_Recombination events.csv,114,7764,"['3', '32']",1000,0.0001,0.02,0.1,5000,50,2,114,7764,114-7764,"['3', '32']","['13', '48', '25']","['5', '21', '34', '26', '11', '38', '14', '6', '50', '30', '39', '2', '23']",0.0,0.0,0.0,100.0,2350.0,587.5,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,9870,100.0,100.0,2,100.0,1,10,6,5,10,42,4,37,60.0%,11.9%,❌ Diff: RDP=6 vs Santa=5,52,11,41
