SantaID,Santa_Event,Santa_Tag,Santa_INI,Santa_END,Santa_Recombinant,santa_popSize,santa_mutationRate,santa_recombProb,santa_dualInfectProb,santa_genCount,santa_sampleSize,RDP_Event_ID,RDP_INI,RDP_END,RDP_Breakpoints,RDP_Recombinant,RDP_Minor,RDP_Major,INI_Difference,END_Difference,Total_Difference,Overlap_Percentage,Fragment_Size,Dynamic_Tolerance,Tolerance_Percent,Source_Tab,Match_Type,Validation,Recombinant_Match_Quality,Quality_Score,Jaccard_Similarity,Sequence_Ratio,Sequence_Coverage,Santa_Recombinant_Count,RDP_Recombinant_Count,Covered_Sequences,Breakpoint_Score,Overlap_Score,Santa_Breakpoint,Santa_Size,Santa_Seqs_Count,Santa_Recombinant_Full,Santa_Recombinant_List,Chain_Score,Start_Score,End_Score,Continuity_Score,Recombinant_Score,Seq_Ratio,Seq_Ratio_%,Reaches_Santa_End,Reaches_End,Reaches_Start,RDP_Recombinant_Full,RDP_Recombinant_List,RDP_Tags,Chain_Length,Chain_INI,Chain_END,Start_Distance,End_Distance,Total_Gap,Chain_Logic_Valid,Logic_Validation_Msg,All_Collected_Recombinants,All_Collected_Recombinants_Count,Recombinants_List,Coverage_Percentage,Start_Gap,End_Gap,_Total_Distance,RDP_Match_Types,Tag,Santa_ID,Recombinant_Match_Score,Start_End_Diff_Score,RDP_Set,Tag_Specific_Quality_Score,Tag_Rank,Global_Rank,Tag_RDP_Count,Tag_Santa_Count,Tag_Original_RDP_Count,Tag_Original_Santa_Count,Tag_Remaining_RDP,Tag_Remaining_Santa,Tag_RDP_Match_Rate,Tag_Santa_Match_Rate,RDP_Santa_Equal,Tag_Total_Original,Tag_Total_Matched,Tag_Total_Remaining
10_Recombination events.csv|2371,2371,10_Recombination events.csv,6780,10000,"['18', '34']",1000,2.5e-05,0.005,0.1,5000,50,1,6778,9999,6778-9999,"['18', '34']",['38'],"['1', '29', '14', '17']",2.0,1.0,3.0,100.0,,,,Step 2: Best Match,🎯 Perfect Match (1/1),,✅ Complete (2/2),59.0,100.0,2/2,100.0,2.0,2.0,2/2,99.5,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2371,100.0,99.7,1,100.0,1,1,1,1,1,8,0,7,100.0%,12.5%,✅ Equal,9,2,7
55_Recombination events.csv|2261,2261,55_Recombination events.csv,1569,10000,"['12', '13', '14', '18', '21', '24', '25', '27', '31', '33', '34', '35', '36', '39', '40', '42', '43', '6']",1000,2.5e-05,0.005,0.1,5000,50,1,1574,9900,1574-9900,"['40', '21', '24', '25', '18', '6', '27', '31', '34', '35', '43', '36', '42', '33', '12', '13', '14', '39']","['1', '29', '28', '3', '8', '10', '15', '45']","['44', '11', '30', '2', '16', '48', '50', '17', '26', '19', '20', '32', '38', '49', '23', '47', '22', '37', '46', '4', '7', '5', '9', '41']",5.0,100.0,105.0,98.8,,,,Step 2: Best Match,✅ Complete Match (1/1),,✅ Complete (18/18),56.760000000000005,100.0,18/18,100.0,18.0,18.0,18/18,66.5,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,2261,77.77777777777779,89.5,1,100.0,1,2,1,1,1,7,0,6,100.0%,14.3%,✅ Equal,8,2,6
64_Recombination events.csv|2431,2431,64_Recombination events.csv,6090,10000,"['11', '13', '21', '22', '44', '8']",1000,2.5e-05,0.005,0.1,5000,50,1,6083,9946,6083-9946,"['44', '21', '8', '11', '22', '13']","['25', '35', '18', '49', '43', '23', '34', '2', '47', '17', '10', '45']","['27', '38', '26', '30', '14']",7.0,54.0,61.0,98.6,,,,Step 2: Best Match,✅ Complete Match (1/1),,✅ Complete (6/6),56.72,100.0,6/6,100.0,6.0,6.0,6/6,92.2,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,2431,33.33333333333333,93.9,1,100.0,1,3,1,1,1,9,0,8,100.0%,11.1%,✅ Equal,10,2,8
62_Recombination events.csv|2446,2446,62_Recombination events.csv,9057,10000,"['19', '25']",1000,2.5e-05,0.005,0.1,5000,50,1,9054,9990,9054-9990,"['19', '25']",['47'],"['16', '22', '45', '9']",3.0,10.0,13.0,98.93955461293743,943.0,235.8,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,58.787910922587486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,2446,100.0,98.7,1,100.0,1,4,2,2,2,5,0,3,100.0%,40.0%,✅ Equal,7,4,3
60_Recombination events.csv|2518,2518,60_Recombination events.csv,1461,10000,['33'],1000,2.5e-05,0.005,0.1,5000,50,1,1461,9994,1461-9994,['33'],"['50', '19']","['12', '27', '25']",0.0,6.0,6.0,99.92973416090877,1461.0,365.2,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,58.98594683218175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,2518,100.0,99.4,1,100.0,1,5,4,4,4,7,0,3,100.0%,57.1%,✅ Equal,11,8,3
6_Recombination events.csv|2432,2432,6_Recombination events.csv,5742,8706,['32'],1000,2.5e-05,0.005,0.1,5000,50,2,5740,8696,5740-8696,['32'],['18'],"['27', '19', '38']",2.0,10.0,12.0,99.7,,,,Step 2: Best Match,⭐ Excellent Match (1/1),,🎯 Perfect (1/1),58.94,100.0,1/1,100.0,1.0,1.0,1/1,98.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2432,100.0,98.8,2,100.0,1,6,2,2,2,8,0,6,100.0%,25.0%,✅ Equal,10,4,6
59_Recombination events.csv|2564,2564,59_Recombination events.csv,6093,10000,"['21', '26', '31', '37', '39', '4', '43', '46']",1000,2.5e-05,0.005,0.1,5000,50,1,6110,9950,6110-9950,"['37', '31', '21', '46', '4', '43', '26', '39']","['10', '19']","['25', '32', '3', '49', '18', '7', '30', '36', '16', '50', '42', '8', '45', '22', '14', '20']",17.0,50.0,67.0,98.3,,,,Step 2: Best Match,✅ Complete Match (1/1),,✅ Complete (8/8),56.66,100.0,8/8,100.0,8.0,8.0,8/8,91.4,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,2564,50.0,93.3,1,100.0,1,7,1,1,2,7,1,6,50.0%,14.3%,✅ Equal,9,2,7
58_Recombination events.csv|2493,2493,58_Recombination events.csv,957,10000,['46'],1000,2.5e-05,0.005,0.1,5000,50,1,960,9974,960-9974,['46'],"['1', '27', '9', '22', '20']","['30', '41']",3.0,26.0,29.0,99.7,,,,Step 2: Best Match,✅ Complete Match (1/1),,🎯 Perfect (1/1),56.94,100.0,1/1,100.0,1.0,1.0,1/1,84.8,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,2493,100.0,97.1,1,100.0,1,8,1,1,1,4,0,3,100.0%,25.0%,✅ Equal,5,2,3
56_Recombination events.csv|2503,2503,56_Recombination events.csv,2844,10000,['47'],1000,2.5e-05,0.005,0.1,5000,50,1,2856,9990,2856-9990,['47'],"['12', '42', '7']",['41'],12.0,10.0,22.0,99.7,,,,Step 2: Best Match,⭐ Excellent Match (1/1),,🎯 Perfect (1/1),56.94,100.0,1/1,100.0,1.0,1.0,1/1,96.1,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,2503,100.0,97.8,1,100.0,1,9,1,1,1,5,0,4,100.0%,20.0%,✅ Equal,6,2,4
54_Recombination events.csv|2481,2481,54_Recombination events.csv,6387,7773,['46'],1000,2.5e-05,0.005,0.1,5000,50,1,6314,7776,6314-7776,['46'],"['33', '40', '41']",['6'],73.0,3.0,76.0,100.0,1386.0,346.5,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,2481,100.0,92.4,1,100.0,1,10,1,1,1,5,0,4,100.0%,20.0%,✅ Equal,6,2,4
32_Recombination events.csv|2477,2477,32_Recombination events.csv,4710,9894,"['22', '32']",1000,2.5e-05,0.005,0.1,5000,50,1,4710,9902,4710-9902,"['22', '32']","['11', '13', '5', '40']","['12', '23', '45']",0.0,8.0,8.0,100.0,4816.0,1204.0,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,2477,100.0,99.2,1,100.0,1,11,3,3,3,9,0,6,100.0%,33.3%,✅ Equal,12,6,6
