SantaID,Santa_Event,Santa_Tag,Santa_INI,Santa_END,Santa_Recombinant,santa_popSize,santa_mutationRate,santa_recombProb,santa_dualInfectProb,santa_genCount,santa_sampleSize,RDP_Event_ID,RDP_INI,RDP_END,RDP_Breakpoints,RDP_Recombinant,RDP_Minor,RDP_Major,INI_Difference,END_Difference,Total_Difference,Overlap_Percentage,Fragment_Size,Dynamic_Tolerance,Tolerance_Percent,Source_Tab,Match_Type,Validation,Recombinant_Match_Quality,Quality_Score,Jaccard_Similarity,Sequence_Ratio,Sequence_Coverage,Santa_Recombinant_Count,RDP_Recombinant_Count,Covered_Sequences,Breakpoint_Score,Overlap_Score,Santa_Breakpoint,Santa_Size,Santa_Seqs_Count,Santa_Recombinant_Full,Santa_Recombinant_List,Chain_Score,Start_Score,End_Score,Continuity_Score,Recombinant_Score,Seq_Ratio,Seq_Ratio_%,Reaches_Santa_End,Reaches_End,Reaches_Start,RDP_Recombinant_Full,RDP_Recombinant_List,RDP_Tags,Chain_Length,Chain_INI,Chain_END,Start_Distance,End_Distance,Total_Gap,Chain_Logic_Valid,Logic_Validation_Msg,All_Collected_Recombinants,All_Collected_Recombinants_Count,Recombinants_List,Coverage_Percentage,Start_Gap,End_Gap,_Total_Distance,RDP_Match_Types,Tag,Santa_ID,Santa_Breakpoints,Recombinant_Match_Score,Start_End_Diff_Score,RDP_Set,Tag_Specific_Quality_Score,Tag_Rank,Global_Rank,Tag_RDP_Count,Tag_Santa_Count,Tag_Original_RDP_Count,Tag_Original_Santa_Count,Tag_Remaining_RDP,Tag_Remaining_Santa,Tag_RDP_Match_Rate,Tag_Santa_Match_Rate,RDP_Santa_Equal,Tag_Total_Original,Tag_Total_Matched,Tag_Total_Remaining
1_Recombination events.csv|9903,9903,1_Recombination events.csv,4968,5703,['46'],1000,0.0002,0.02,0.1,5000,50,2,4968,5700,4968-5700,['46'],['39'],"['21', '11']",0.0,3.0,3.0,99.6,,,,Step 2: Best Match,⭐ Excellent Match (1/1),,🎯 Perfect (1/1),58.92,100.0,1/1,100.0,1.0,1.0,1/1,98.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9903,4968-5703,100.0,99.7,2,100.0,1,1,9,7,11,39,2,32,81.8%,17.9%,❌ Diff: RDP=9 vs Santa=7,50,16,34
53_Recombination events.csv|9959,9959,53_Recombination events.csv,7170,9366,"['16', '31']",1000,0.0002,0.02,0.1,5000,50,1,7170,9366,7170-9366,"['16', '31']","['20', '14']","['15', '9']",0.0,0.0,0.0,100.0,2196.0,549.0,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,9959,7170-9366,100.0,100.0,1,100.0,1,2,15,14,24,58,9,44,62.5%,24.1%,❌ Diff: RDP=15 vs Santa=14,82,29,53
55_Recombination events.csv|10048,10048,55_Recombination events.csv,2499,2739,['18'],1000,0.0002,0.02,0.1,5000,50,6,2500,2740,2500-2740,['18'],"['43', '7', '42', '48', '13', '44', '14', '28', '3', '36', '30', '4']","['23', '37']",1.0,1.0,2.0,99.6,,,,Step 2: Best Match,⭐ Excellent Match (1/1),,🎯 Perfect (1/1),58.92,100.0,1/1,100.0,1.0,1.0,1/1,95.8,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,10048,2499-2739,100.0,99.8,6,100.0,1,3,8,8,13,51,5,43,61.5%,15.7%,✅ Equal,64,16,48
57_Recombination events.csv|9782,9782,57_Recombination events.csv,1191,10000,"['18', '23']",1000,0.0002,0.02,0.1,5000,50,1,1192,9998,1192-9998,"['18', '23']","['16', '42', '19', '33', '46', '1']",['11'],1.0,2.0,3.0,100.0,,,,Step 2: Best Match,⭐ Excellent Match (1/1),,✅ Complete (2/2),59.0,100.0,2/2,100.0,2.0,2.0,2/2,98.7,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,9782,1191-10000,100.0,99.7,1,100.0,1,4,7,7,10,26,3,19,70.0%,26.9%,✅ Equal,36,14,22
58_Recombination events.csv|9990,9990,58_Recombination events.csv,5538,9258,['9'],1000,0.0002,0.02,0.1,5000,50,1,5534,9260,5534-9260,['9'],['21'],['12'],4.0,2.0,6.0,100.0,3720.0,930.0,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,9990,5538-9258,100.0,99.4,1,100.0,1,5,5,5,5,28,0,23,100.0%,17.9%,✅ Equal,33,10,23
6_Recombination events.csv|10066,10066,6_Recombination events.csv,2490,6267,['49'],1000,0.0002,0.02,0.1,5000,50,1,2490,6267,2490-6267,['49'],"['13', '37', '40']",['18'],0.0,0.0,0.0,100.0,3777.0,944.2,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,10066,2490-6267,100.0,100.0,1,100.0,1,6,6,6,13,34,7,28,46.2%,17.6%,✅ Equal,47,12,35
2_Recombination events.csv|9891,9891,2_Recombination events.csv,402,1968,['25'],1000,0.0002,0.02,0.1,5000,50,1,400,1968,400-1968,['25'],['7'],['47'],2.0,0.0,2.0,100.0,1566.0,391.5,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,9891,402-1968,100.0,99.8,1,100.0,1,7,7,7,11,68,4,61,63.6%,10.3%,✅ Equal,79,14,65
19_Recombination events.csv|9902,9902,19_Recombination events.csv,4605,10000,['12'],1000,0.0002,0.02,0.1,5000,50,1,4604,9990,4604-9990,['12'],['49'],['45'],1.0,10.0,11.0,99.81464318813717,4605.0,1151.2,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,58.962928637627435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,9902,4605-10000,100.0,98.9,1,100.0,1,8,3,3,4,28,1,25,75.0%,10.7%,✅ Equal,32,6,26
61_Recombination events.csv|10009,10009,61_Recombination events.csv,633,4365,['10'],1000,0.0002,0.02,0.1,5000,50,1,634,4366,634-4366,['10'],"['43', '38', '12', '42']",['9'],1.0,1.0,2.0,100.0,,,,Step 2: Best Match,🎯 Perfect Match (1/1),,🎯 Perfect (1/1),59.0,100.0,1/1,100.0,1.0,1.0,1/1,99.7,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,10009,633-4365,100.0,99.8,1,100.0,1,9,6,6,6,46,0,40,100.0%,13.0%,✅ Equal,52,12,40
61_Recombination events.csv|9977,9977,61_Recombination events.csv,8502,10000,['36'],1000,0.0002,0.02,0.1,5000,50,2,8504,10000,8504-10000,['36'],"['17', '35', '21', '25']","['39', '13']",2.0,0.0,2.0,99.9,,,,Step 2: Best Match,🎯 Perfect Match (1/1),,🎯 Perfect (1/1),58.980000000000004,100.0,1/1,100.0,1.0,1.0,1/1,99.3,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,9977,8502-10000,100.0,99.8,2,100.0,2,10,6,6,6,46,0,40,100.0%,13.0%,✅ Equal,52,12,40
