SantaID,Santa_Event,Santa_Tag,Santa_INI,Santa_END,Santa_Recombinant,santa_popSize,santa_mutationRate,santa_recombProb,santa_dualInfectProb,santa_genCount,santa_sampleSize,RDP_Event_ID,RDP_INI,RDP_END,RDP_Breakpoints,RDP_Recombinant,RDP_Minor,RDP_Major,INI_Difference,END_Difference,Total_Difference,Overlap_Percentage,Fragment_Size,Dynamic_Tolerance,Tolerance_Percent,Source_Tab,Match_Type,Validation,Recombinant_Match_Quality,Quality_Score,Jaccard_Similarity,Sequence_Ratio,Sequence_Coverage,Santa_Recombinant_Count,RDP_Recombinant_Count,Covered_Sequences,Breakpoint_Score,Overlap_Score,Santa_Breakpoint,Santa_Size,Santa_Seqs_Count,Santa_Recombinant_Full,Santa_Recombinant_List,Chain_Score,Start_Score,End_Score,Continuity_Score,Recombinant_Score,Seq_Ratio,Seq_Ratio_%,Reaches_Santa_End,Reaches_End,Reaches_Start,RDP_Recombinant_Full,RDP_Recombinant_List,RDP_Tags,Chain_Length,Chain_INI,Chain_END,Start_Distance,End_Distance,Total_Gap,Chain_Logic_Valid,Logic_Validation_Msg,All_Collected_Recombinants,All_Collected_Recombinants_Count,Recombinants_List,Coverage_Percentage,Start_Gap,End_Gap,_Total_Distance,RDP_Match_Types,Tag,Santa_ID,Santa_Breakpoints,Recombinant_Match_Score,Start_End_Diff_Score,RDP_Set,Tag_Specific_Quality_Score,Tag_Rank,Global_Rank,Tag_RDP_Count,Tag_Santa_Count,Tag_Original_RDP_Count,Tag_Original_Santa_Count,Tag_Remaining_RDP,Tag_Remaining_Santa,Tag_RDP_Match_Rate,Tag_Santa_Match_Rate,RDP_Santa_Equal,Tag_Total_Original,Tag_Total_Matched,Tag_Total_Remaining
1_Recombination events.csv|9750,9750,1_Recombination events.csv,1404,3828,"['10', '7']",1000,0.0001,0.02,0.1,5000,50,3,1404,3827,1404-3827,"['10', '7']","['46', '40']","['50', '43', '30']",0.0,1.0,1.0,100.0,,,,Step 2: Best Match,🎯 Perfect Match (1/1),,✅ Complete (2/2),59.0,100.0,2/2,100.0,2.0,2.0,2/2,99.8,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9750,1404-3828,100.0,99.9,3,100.0,1,1,11,11,13,29,2,18,84.6%,37.9%,✅ Equal,42,22,20
59_Recombination events.csv|9931,9931,59_Recombination events.csv,1341,8544,['47'],1000,0.0001,0.02,0.1,5000,50,2,1340,8544,1340-8544,['47'],"['2', '17']","['1', '26']",1.0,0.0,1.0,100.0,2797.0,699.2,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,9931,1341-8544,100.0,99.9,2,100.0,1,2,5,5,5,35,0,30,100.0%,14.3%,✅ Equal,40,10,30
57_Recombination events.csv|9807,9807,57_Recombination events.csv,1290,1707,"['19', '46']",1000,0.0001,0.02,0.1,5000,50,4,1289,1706,1289-1706,"['19', '46']",['17'],['42'],1.0,1.0,2.0,99.8,,,,Step 2: Best Match,⭐ Excellent Match (1/1),,✅ Complete (2/2),58.96,100.0,2/2,100.0,2.0,2.0,2/2,97.6,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,9807,1290-1707,100.0,99.8,4,100.0,1,3,5,5,6,39,1,34,83.3%,12.8%,✅ Equal,45,10,35
52_Recombination events.csv|10099,10099,52_Recombination events.csv,258,3261,['48'],1000,0.0001,0.02,0.1,5000,50,5,258,3262,258-3262,['48'],"['14', '1', '32']","['12', '31', '9', '17', '35']",0.0,1.0,1.0,100.0,3003.0,750.8,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,10099,258-3261,100.0,99.9,5,100.0,1,4,10,10,12,48,2,38,83.3%,20.8%,✅ Equal,60,20,40
51_Recombination events.csv|9834,9834,51_Recombination events.csv,3285,10000,['44'],1000,0.0001,0.02,0.1,5000,50,1,3286,9998,3286-9998,['44'],['24'],['17'],1.0,2.0,3.0,100.0,,,,Step 2: Best Match,🎯 Perfect Match (1/1),,🎯 Perfect (1/1),59.0,100.0,1/1,100.0,1.0,1.0,1/1,99.5,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,9834,3285-10000,100.0,99.7,1,100.0,1,5,6,6,9,58,3,52,66.7%,10.3%,✅ Equal,67,12,55
5_Recombination events.csv|9573,9573,5_Recombination events.csv,5373,10000,"['21', '44', '46', '7']",1000,0.0001,0.02,0.1,5000,50,1,5370,9995,5370-9995,"['21', '7']","['15', '8', '42', '43', '12', '11', '23', '13', '16']","['33', '47', '9', '49', '50', '20', '22', '10', '26']",3.0,5.0,8.0,99.9,,,,Step 2: Best Match,🎯 Perfect Match (1/1),,✅ Complete (2/2),58.980000000000004,50.0,2/2,100.0,4.0,2.0,2/2,99.1,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,9573,5373-10000,100.0,99.2,1,100.0,1,6,5,5,5,34,0,29,100.0%,14.7%,✅ Equal,39,10,29
49_Recombination events.csv|9596,9596,49_Recombination events.csv,4590,10000,['42'],1000,0.0001,0.02,0.1,5000,50,2,4590,9997,4590-9997,['42'],"['47', '8', '32', '19', '49', '40']","['39', '18', '1', '31', '26']",0.0,3.0,3.0,99.9445471349353,4590.0,1147.5,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,58.988909426987064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,9596,4590-10000,100.0,99.7,2,100.0,1,7,7,7,9,39,2,32,77.8%,17.9%,✅ Equal,48,14,34
46_Recombination events.csv|10140,10140,46_Recombination events.csv,2382,3222,['23'],1000,0.0001,0.02,0.1,5000,50,4,2382,3225,2382-3225,['23'],['2'],['25'],0.0,3.0,3.0,100.0,840.0,210.0,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,10140,2382-3222,100.0,99.7,4,100.0,1,8,8,8,8,60,0,52,100.0%,13.3%,✅ Equal,68,16,52
45_Recombination events.csv|10163,10163,45_Recombination events.csv,417,7575,['8'],1000,0.0001,0.02,0.1,5000,50,2,408,7574,408-7574,['8'],"['28', '10', '43']",['18'],9.0,1.0,10.0,100.0,,,,Step 2: Best Match,⭐ Excellent Match (1/1),,🎯 Perfect (1/1),59.0,100.0,1/1,100.0,1.0,1.0,1/1,98.2,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,10163,417-7575,100.0,99.0,2,100.0,1,9,8,7,11,32,3,25,72.7%,21.9%,❌ Diff: RDP=8 vs Santa=7,43,15,28
43_Recombination events.csv|10098,10098,43_Recombination events.csv,5646,5853,['30'],1000,0.0001,0.02,0.1,5000,50,6,5646,5853,5646-5853,['30'],"['15', '18', '8', '33', '44', '24', '21']",['38'],0.0,0.0,0.0,100.0,207.0,51.8,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,10098,5646-5853,100.0,100.0,6,100.0,1,10,7,7,11,30,4,23,63.6%,23.3%,✅ Equal,41,14,27
