,Unnamed: 0,Global_Rank,Tag_Rank,Tag_Specific_Quality_Score,Tag,Santa_ID,RDP_Event_ID,Match_Type,Source_Tab,Tag_RDP_Count,Tag_Santa_Count,Tag_Original_RDP_Count,Tag_Original_Santa_Count,Tag_Remaining_RDP,Tag_Remaining_Santa,Tag_RDP_Match_Rate,Tag_Santa_Match_Rate,RDP_Santa_Equal,Tag_Total_Original,Tag_Total_Matched,Tag_Total_Remaining,SantaID,Santa_Event,Santa_Tag,Santa_INI,Santa_END,Santa_Recombinant,santa_popSize,santa_mutationRate,santa_recombProb,santa_dualInfectProb,santa_genCount,santa_sampleSize,RDP_INI,RDP_END,RDP_Breakpoints,RDP_Recombinant,RDP_Minor,RDP_Major,INI_Difference,END_Difference,Total_Difference,Overlap_Percentage,Fragment_Size,Dynamic_Tolerance,Tolerance_Percent,Validation,Recombinant_Match_Quality,Quality_Score,Jaccard_Similarity,Sequence_Ratio,Sequence_Coverage,Santa_Recombinant_Count,RDP_Recombinant_Count,Covered_Sequences,Breakpoint_Score,Overlap_Score,Santa_Breakpoint,Santa_Size,Santa_Seqs_Count,Tolerance,Max_End_Distance,Chain_Score,Start_Score,End_Score,Continuity_Score,Recombinant_Score,Seq_Ratio,Seq_Ratio_%,Reaches_Santa_End,RDP_Tags,Chain_Length,Chain_INI,Chain_END,Start_Distance,End_Distance,Total_Gap,Chain_Logic_Valid,Logic_Validation_Msg,Quality_Check,Coverage_Percentage,Valid,Minor/Major,Start_Anchor,End_Anchor,Full_Coverage,Pre_Start_RDPs,Reaches_Start,Reaches_End,RDP_Num,Santa_Breakpoints,Display_Coverage,Display_Seq_Ratio,Structural_Score,Coverage_Score,tag,Parent_Child_Type,Matched_Value,Breakpoint_Matches,Num_Breakpoint_Matches,Avg_Distance,Total_Distance,Start_Dist,End_Dist,Recombinant_Match_Score,Start_End_Diff_Score,Chain_Bonus,Step_Priority,Match_Type_Priority,Reaches_Priority,RDP_Set,Reaches_Status
0,0,1,1,100,1,9903,2,⭐ Excellent Match (1/1),Step 2: Best Match,9,7,11,39,2,32,81.8%,17.9%,❌ Diff: RDP=9 vs Santa=7,50,16,34,1_Recombination events.csv|9903,9903,1_Recombination events.csv,4968,5703,['46'],1000,0.0002,0.02,0.1,5000,50,4968,5700,4968-5700,['46'],['39'],"['21', '11']",0,3,3,99.6,,,,,🎯 Perfect (1/1),58.92,100,1/1,100,1,1,1/1,90,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,2,4968-5703,99.6%,100.0%,0,99.6,,,,,,,,,,100,99.7,0,1,2,0,2,❌ None
43,43,44,2,99.5987963891675,1,9906,6,⭐ Excellent Match (1/1),Step 2: Best Match,9,7,11,39,2,32,81.8%,17.9%,❌ Diff: RDP=9 vs Santa=7,50,16,34,1_Recombination events.csv|9906,9906,1_Recombination events.csv,1110,10000,['35'],1000,0.0002,0.02,0.1,5000,50,1110,9989,1110-9989,['35'],"['13', '42']","['23', '5', '4']",0,11,11,99.9,,,,,🎯 Perfect (1/1),56.98,100,1/1,100,1,1,1/1,70,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,6,1110-10000,99.9%,100.0%,0,99.9,,,,,,,,,,100,98.9,0,1,2,0,6,❌ None
48,48,49,3,99.49849548645938,1,9904,5,Standard_Match,Step 1: Approximate,9,7,11,39,2,32,81.8%,17.9%,❌ Diff: RDP=9 vs Santa=7,50,16,34,1_Recombination events.csv|9904,9904,1_Recombination events.csv,4176,8103,"['15', '28']",1000,0.0002,0.02,0.1,5000,50,4182,8110,4182-8110,"['15', '28']","['38', '35', '3', '23', '5', '29', '8', '49', '4', '47']",['11'],6,7,13,99.8472116119175,3927,981.8,25,Exact Recombinant Match,,58.9694423223835,,,,,,,90,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,5,4176-8103,99.8%,100.0%,0,99.8472116119175,,,,,,,,,,100,98.7,0,1,7,0,5,❌ None
55,55,56,4,99.39819458375126,1,9946,1,⭐ Excellent Match (1/1),Step 2: Best Match,9,7,11,39,2,32,81.8%,17.9%,❌ Diff: RDP=9 vs Santa=7,50,16,34,1_Recombination events.csv|9946,9946,1_Recombination events.csv,1575,10000,['43'],1000,0.0002,0.02,0.1,5000,50,1572,9988,1572-9988,['43'],"['19', '22']","['7', '6', '37', '27', '17', '26', '50']",3,12,15,99.9,,,,,🎯 Perfect (1/1),56.98,100,1/1,100,1,1,1/1,70,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,1575-10000,99.9%,100.0%,0,99.9,,,,,,,,,,100,98.5,0,1,2,0,1,❌ None
107,107,108,5,68.64593781344033,1,9738,3,✅ Complete Match (1/1),Step 2: Best Match,9,7,11,39,2,32,81.8%,17.9%,❌ Diff: RDP=9 vs Santa=7,50,16,34,1_Recombination events.csv|9738,9738,1_Recombination events.csv,2310,9843,"['27', '32', '41', '43', '44', '9']",1000,0.0002,0.02,0.1,5000,50,2338,9845,2338-9845,"['9', '27', '41', '44', '32']","['35', '18', '10', '23', '13', '14', '4', '3', '5', '29', '16', '1', '49', '48', '2', '30', '34', '20', '42', '36', '33', '24', '38', '12', '45', '25', '8', '31', '47']","['7', '6', '37', '17', '26', '50']",28,2,30,99.6,,,,,✅ Complete (5/5),56.92,83.3,5/5,100,6,5,5/5,70,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,3,2310-9843,99.6%,100.0%,0,99.6,,,,,,,,,,40,97,0,1,3,0,3,❌ None
157,157,158,6,49.79939819458375,1,9343,4,⭐ Excellent Match (1/1),Step 2: Best Match,9,7,11,39,2,32,81.8%,17.9%,❌ Diff: RDP=9 vs Santa=7,50,16,34,1_Recombination events.csv|9343,9343,1_Recombination events.csv,2865,10000,"['27', '32', '39', '40', '41', '43', '44', '46', '9']",1000,0.0002,0.02,0.1,5000,50,2868,9996,2868-9996,"['40', '39']","['35', '10', '23', '14', '4', '3', '5', '29', '16', '1', '49', '48', '2', '20', '36', '33', '38', '25', '31', '47']","['7', '6', '37', '17', '26', '50']",3,4,7,99.9,,,,,✅ Complete (2/2),58.98,22.2,2/2,100,9,2,2/2,90,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,4,2865-10000,99.9%,100.0%,0,99.9,,,,,,,,,,0,99.3,0,1,2,0,4,❌ None
191,191,192,7,0,1,9103,"7, 8, 9",Chain (5 RDPs),Step 7: Parent-Child Chain,9,7,11,39,2,32,81.8%,17.9%,❌ Diff: RDP=9 vs Santa=7,50,16,34,1_Recombination events.csv|9103,9103,1_Recombination events.csv,1464,5703,"['17', '26', '37', '50', '6', '7']",1000,0.0002,0.02,0.1,5000,50,1577,9996,2868-9996 | 2869-3185 | 3516-5705,"['9', '27', '41', '39', '44', '43', '32', '40'] | ['9', '27', '41', '44', '32'] | ['40', '39'] | ['9', '27', '41', '39', '44', '43', '32', '40'] | ['9', '27', '41', '39', '44', '43', '32', '40']","['35', '18', '10', '23', '13', '14', '4', '3', '5', '29', '16', '1', '49', '48', '2', '30', '34', '20', '42', '36', '33', '24', '38', '12', '45', '25', '8', '31', '47'] | ['35', '18', '10', '23', '13', '14', '4', '3', '5', '29', '16', '1', '49', '48', '2', '30', '34', '20', '42', '36', '33', '24', '38', '12', '45', '25', '8', '31', '47'] | ['35', '10', '23', '14', '4', '3', '5', '29', '16', '1', '49', '48', '2', '20', '36', '33', '38', '25', '31', '47'] | ['35', '18', '10', '23', '13', '14', '4', '3', '5', '29', '16', '1', '49', '48', '2', '30', '34', '20', '42', '36', '33', '24', '38', '12', '45', '25', '8', '31', '47'] | ['21', '11', '35', '18', '10', '23', '14', '4', '22', '3', '5', '29', '16', '1', '49', '48', '19', '2', '30', '34', '46', '20', '42', '36', '33', '24', '38', '12', '45', '25', '8', '31', '47']","['7', '6', '37', '17', '26', '50'] | ['7', '6', '37', '17', '26', '50'] | ['7', '6', '37', '17', '26', '50'] | ['7', '6', '37', '17', '26', '50'] | ['7', '6', '37', '17', '26', '50']",,,,,4239,1059.8,25,,,6.5,,,,6,,,50,,,,,,,100,,,,,0,,,,5,,,,,,,,,,⚠️ Parent-Child Chain,✅ Chain-5,8,7,,,,,"7, 8, 9",1464-5703,,,0,0,1_Recombination events.csv,Major_Exact_Match,5 RDPs,Chain-5,5,197.8,989,,,0,0,15,4,6,0,"7,8,9",❌ None
6,6,7,1,100,2,9891,1,Standard_Match,Step 1: Approximate,7,7,11,68,4,61,63.6%,10.3%,✅ Equal,79,14,65,2_Recombination events.csv|9891,9891,2_Recombination events.csv,402,1968,['25'],1000,0.0002,0.02,0.1,5000,50,400,1968,400-1968,['25'],['7'],['47'],2,0,2,100,1566,391.5,25,Exact Recombinant Match,,59,,,,,,,90,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,402-1968,100.0%,100.0%,0,100,,,,,,,,,,100,99.8,0,1,7,0,1,❌ None
18,18,19,2,99.9498997995992,2,9898,3,🎯 Perfect Match (1/1),Step 2: Best Match,7,7,11,68,4,61,63.6%,10.3%,✅ Equal,79,14,65,2_Recombination events.csv|9898,9898,2_Recombination events.csv,3213,7260,['40'],1000,0.0002,0.02,0.1,5000,50,3214,7262,3214-7262,['40'],"['20', '12']","['19', '7', '35', '27', '23', '44', '49', '8', '31', '48']",1,2,3,100,,,,,🎯 Perfect (1/1),59,100,1/1,100,1,1,1/1,90,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,3,3213-7260,100.0%,100.0%,0,100,,,,,,,,,,100,99.7,0,1,1,0,3,❌ None
95,95,96,3,78.08951235804943,2,5458,5,✅ Complete Match (1/1),Step 2: Best Match,7,7,11,68,4,61,63.6%,10.3%,✅ Equal,79,14,65,2_Recombination events.csv|5458,5458,2_Recombination events.csv,2484,10000,"['1', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '2', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '3', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '4', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '5', '50', '6', '7', '8', '9']",1000,0.0002,0.02,0.1,5000,50,2749,9992,2749-9992,"['19', '48', '7', '35', '27', '23', '13', '44', '49', '8', '31', '40']","['20', '12']","['21', '11', '6', '18', '10', '15', '14', '43', '4', '37', '41', '3', '5', '28', '29', '16', '1', '50', '30', '34', '9', '39', '42', '33', '24', '38', '45', '17', '25', '46', '32', '47']",265,8,273,96.4,,,,,✅ Complete (12/12),54.28,24,12/12,100,50,12,12/12,50,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,5,2484-10000,96.4%,100.0%,0,96.4,,,,,,,,,,83.33333333333334,72.7,0,1,3,0,5,❌ None
