SantaID,Santa_Event,Santa_Tag,Santa_INI,Santa_END,Santa_Recombinant,santa_popSize,santa_mutationRate,santa_recombProb,santa_dualInfectProb,santa_genCount,santa_sampleSize,RDP_Event_ID,RDP_INI,RDP_END,RDP_Breakpoints,RDP_Recombinant,RDP_Minor,RDP_Major,INI_Difference,END_Difference,Total_Difference,Overlap_Percentage,Fragment_Size,Dynamic_Tolerance,Tolerance_Percent,Source_Tab,Match_Type,Validation,Recombinant_Match_Quality,Quality_Score,Jaccard_Similarity,Sequence_Ratio,Sequence_Coverage,Santa_Recombinant_Count,RDP_Recombinant_Count,Covered_Sequences,Breakpoint_Score,Overlap_Score,Santa_Breakpoint,Santa_Size,Santa_Seqs_Count,Santa_Recombinant_Full,Santa_Recombinant_List,Chain_Score,Start_Score,End_Score,Continuity_Score,Recombinant_Score,Seq_Ratio,Seq_Ratio_%,Reaches_Santa_End,Reaches_End,Reaches_Start,RDP_Recombinant_Full,RDP_Recombinant_List,RDP_Tags,Chain_Length,Chain_INI,Chain_END,Start_Distance,End_Distance,Total_Gap,Chain_Logic_Valid,Logic_Validation_Msg,All_Collected_Recombinants,All_Collected_Recombinants_Count,Recombinants_List,Coverage_Percentage,Start_Gap,End_Gap,_Total_Distance,RDP_Match_Types,Tag,Santa_ID,Recombinant_Match_Score,Start_End_Diff_Score,RDP_Set,Tag_Specific_Quality_Score,Tag_Rank,Global_Rank,Tag_RDP_Count,Tag_Santa_Count,Tag_Original_RDP_Count,Tag_Original_Santa_Count,Tag_Remaining_RDP,Tag_Remaining_Santa,Tag_RDP_Match_Rate,Tag_Santa_Match_Rate,RDP_Santa_Equal,Tag_Total_Original,Tag_Total_Matched,Tag_Total_Remaining
82_Recombination events.csv|9815,9815,82_Recombination events.csv,1221,10000,['20'],1000,0.0001,0.02,0.1,5000,50,1,1220,9991,1220-9991,['20'],['39'],['32'],1.0,9.0,10.0,99.9,,,,Step 2: Best Match,⭐ Excellent Match (1/1),,🎯 Perfect (1/1),58.980000000000004,100.0,1/1,100.0,1.0,1.0,1/1,95.9,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,9815,100.0,99.0,1,100.0,1,1,9,9,14,31,5,22,64.3%,29.0%,✅ Equal,45,18,27
9_Recombination events.csv|9586,9586,9_Recombination events.csv,2046,8925,"['2', '22']",1000,0.0001,0.02,0.1,5000,50,2,2044,8926,2044-8926,"['2', '22']","['34', '50']","['39', '37', '25', '3', '10', '36', '48', '44', '40']",2.0,1.0,3.0,100.0,3121.0,780.2,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9586,100.0,99.7,2,100.0,1,2,10,10,14,58,4,48,71.4%,17.2%,✅ Equal,72,20,52
35_Recombination events.csv|9790,9790,35_Recombination events.csv,8007,10000,"['18', '9']",1000,0.0001,0.02,0.1,5000,50,1,8008,9997,8008-9997,"['18', '9']","['29', '4', '47', '34', '23', '6', '28', '1', '17', '43']","['7', '27', '30', '41', '33', '24', '45', '37', '25', '36', '15', '14', '48', '22', '3', '2', '12', '46', '21', '5', '20', '11', '16']",1.0,3.0,4.0,99.8,,,,Step 2: Best Match,⭐ Excellent Match (1/1),,✅ Complete (2/2),58.96,100.0,2/2,100.0,2.0,2.0,2/2,99.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,9790,100.0,99.6,1,100.0,1,3,2,2,3,23,1,21,66.7%,8.7%,✅ Equal,26,4,22
97_Recombination events.csv|10145,10145,97_Recombination events.csv,2238,4551,['18'],1000,0.0001,0.02,0.1,5000,50,2,2234,4554,2234-4554,['18'],['22'],"['26', '15', '36']",4.0,3.0,7.0,100.0,2313.0,578.2,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,10145,100.0,99.3,2,100.0,1,4,8,8,13,40,5,32,61.5%,20.0%,✅ Equal,53,16,37
38_Recombination events.csv|9833,9833,38_Recombination events.csv,3381,10000,['12'],1000,0.0001,0.02,0.1,5000,50,2,3379,9996,3379-9996,['12'],"['45', '36', '14', '48', '18']",['40'],2.0,4.0,6.0,99.93956791056051,3381.0,845.2,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,58.9879135821121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,9833,100.0,99.4,2,100.0,1,5,5,4,6,38,1,34,83.3%,10.5%,❌ Diff: RDP=5 vs Santa=4,44,9,35
40_Recombination events.csv|9916,9916,40_Recombination events.csv,33,2664,['42'],1000,0.0001,0.02,0.1,5000,50,2,32,2664,32-2664,['42'],"['7', '46', '29', '6', '40', '28', '18', '16', '32', '3', '47']",['22'],1.0,0.0,1.0,100.0,2631.0,657.8,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,9916,100.0,99.9,2,100.0,1,6,3,3,5,17,2,14,60.0%,17.6%,✅ Equal,22,6,16
41_Recombination events.csv|10008,10008,41_Recombination events.csv,9288,10000,"['10', '44']",1000,0.0001,0.02,0.1,5000,50,2,9288,9994,9288-9994,"['10', '44']",['15'],"['27', '19']",0.0,6.0,6.0,99.2,,,,Step 2: Best Match,⭐ Excellent Match (1/1),,✅ Complete (2/2),58.84,100.0,2/2,100.0,2.0,2.0,2/2,95.8,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,10008,100.0,99.4,2,100.0,1,7,5,5,5,42,0,37,100.0%,11.9%,✅ Equal,47,10,37
12_Recombination events.csv|9999,9999,12_Recombination events.csv,2064,7560,['10'],1000,0.0001,0.02,0.1,5000,50,2,2062,7560,2062-7560,['10'],"['42', '9']","['4', '18', '22', '26']",2.0,0.0,2.0,100.0,4504.0,1126.0,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,9999,100.0,99.8,2,100.0,1,8,5,4,6,44,1,40,83.3%,9.1%,❌ Diff: RDP=5 vs Santa=4,50,9,41
42_Recombination events.csv|9961,9961,42_Recombination events.csv,4623,10000,['6'],1000,0.0001,0.02,0.1,5000,50,1,4622,9998,4622-9998,['6'],"['13', '32', '48']",['9'],1.0,2.0,3.0,100.0,,,,Step 2: Best Match,🎯 Perfect Match (1/1),,🎯 Perfect (1/1),59.0,100.0,1/1,100.0,1.0,1.0,1/1,99.7,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,9961,100.0,99.7,1,100.0,1,9,4,4,6,44,2,40,66.7%,9.1%,✅ Equal,50,8,42
31_Recombination events.csv|9819,9819,31_Recombination events.csv,1527,4245,['38'],1000,0.0001,0.02,0.1,5000,50,1,1528,4246,1528-4246,['38'],"['45', '5', '8', '13', '33']","['32', '1', '29']",1.0,1.0,2.0,100.0,,,,Step 2: Best Match,🎯 Perfect Match (1/1),,🎯 Perfect (1/1),59.0,100.0,1/1,100.0,1.0,1.0,1/1,99.6,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,9819,100.0,99.8,1,100.0,1,10,11,10,13,40,2,30,84.6%,25.0%,❌ Diff: RDP=11 vs Santa=10,53,21,32
