,Unnamed: 0,Global_Rank,Tag_Rank,Tag_Specific_Quality_Score,Tag,Santa_ID,RDP_Event_ID,Match_Type,Source_Tab,Tag_RDP_Count,Tag_Santa_Count,Tag_Original_RDP_Count,Tag_Original_Santa_Count,Tag_Remaining_RDP,Tag_Remaining_Santa,Tag_RDP_Match_Rate,Tag_Santa_Match_Rate,RDP_Santa_Equal,Tag_Total_Original,Tag_Total_Matched,Tag_Total_Remaining,SantaID,Santa_Event,Santa_Tag,Santa_INI,Santa_END,Santa_Recombinant,santa_popSize,santa_mutationRate,santa_recombProb,santa_dualInfectProb,santa_genCount,santa_sampleSize,RDP_INI,RDP_END,RDP_Breakpoints,RDP_Recombinant,RDP_Minor,RDP_Major,INI_Difference,END_Difference,Total_Difference,Overlap_Percentage,Fragment_Size,Dynamic_Tolerance,Tolerance_Percent,Validation,Recombinant_Match_Quality,Quality_Score,Jaccard_Similarity,Sequence_Ratio,Sequence_Coverage,Santa_Recombinant_Count,RDP_Recombinant_Count,Covered_Sequences,Breakpoint_Score,Overlap_Score,Santa_Breakpoint,Santa_Size,Santa_Seqs_Count,Tolerance,Max_End_Distance,Chain_Score,Start_Score,End_Score,Continuity_Score,Recombinant_Score,Seq_Ratio,Seq_Ratio_%,Reaches_Santa_End,RDP_Tags,Chain_Length,Chain_INI,Chain_END,Start_Distance,End_Distance,Total_Gap,Chain_Logic_Valid,Logic_Validation_Msg,Quality_Check,Coverage_Percentage,Valid,Minor/Major,Start_Anchor,End_Anchor,Full_Coverage,Pre_Start_RDPs,Reaches_Start,Reaches_End,RDP_Num,Santa_Breakpoints,Display_Coverage,Display_Seq_Ratio,Structural_Score,Coverage_Score,tag,Parent_Child_Type,Matched_Value,Breakpoint_Matches,Num_Breakpoint_Matches,Avg_Distance,Total_Distance,Start_Dist,End_Dist,Recombinant_Match_Score,Start_End_Diff_Score,Chain_Bonus,Step_Priority,Match_Type_Priority,Reaches_Priority,RDP_Set,Reaches_Status
0,0,1,1,100,1,9903,2,⭐ Excellent Match (1/1),Step 2: Best Match,8,7,10,39,2,32,80.0%,17.9%,❌ Diff: RDP=8 vs Santa=7,49,15,34,1_Recombination events.csv|9903,9903,1_Recombination events.csv,4968,5703,['46'],1000,0.0002,0.02,0.1,5000,50,4968,5700,4968-5700,['46'],['39'],"['11', '21']",0,3,3,99.6,,,,,🎯 Perfect (1/1),58.92,100,1/1,100,1,1,1/1,90,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,2,4968-5703,99.6%,100.0%,0,99.6,,,,,,,,,,100,99.7,0,1,2,0,2,❌ None
1,1,2,1,100,10,9919,2,Standard_Match,Step 1: Approximate,11,11,19,54,8,43,57.9%,20.4%,✅ Equal,73,22,51,10_Recombination events.csv|9919,9919,10_Recombination events.csv,4734,10000,['48'],1000,0.0002,0.02,0.1,5000,50,4735,9998,4735-9998,['48'],"['33', '41']","['8', '17']",1,2,3,99.94303076338778,4734,1183.5,25,Exact Recombinant Match,,58.98860615267756,,,,,,,90,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,2,4734-10000,99.9%,100.0%,0,99.94303076338778,,,,,,,,,,100,99.7,0,1,7,0,2,❌ None
2,2,3,1,100,12,9894,7,Standard_Match,Step 1: Approximate,12,10,19,61,7,51,63.2%,16.4%,❌ Diff: RDP=12 vs Santa=10,80,22,58,12_Recombination events.csv|9894,9894,12_Recombination events.csv,165,9534,['46'],1000,0.0002,0.02,0.1,5000,50,165,9534,165-9534,['46'],"['31', '20', '41', '3']",['34'],0,0,0,100,631,157.8,25,Exact Recombinant Match,,60,,,,,,,100,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,7,165-9534,100.0%,100.0%,0,100,,,,,,,,,,100,100,0,1,7,0,7,❌ None
3,3,4,1,100,13,9757,3,🎯 Perfect Match (1/1),Step 2: Best Match,9,9,12,46,3,37,75.0%,19.6%,✅ Equal,58,18,40,13_Recombination events.csv|9757,9757,13_Recombination events.csv,2238,8286,['35'],1000,0.0002,0.02,0.1,5000,50,2239,8285,2239-8285,['35'],"['29', '34']","['19', '1', '7', '9']",1,1,2,100,,,,,🎯 Perfect (1/1),59,100,1/1,100,1,1,1/1,90,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,3,2238-8286,100.0%,100.0%,0,100,,,,,,,,,,100,99.8,0,1,1,0,3,❌ None
4,4,5,1,100,15,9720,3,🎯 Perfect Match (1/1),Step 2: Best Match,11,11,13,54,2,43,84.6%,20.4%,✅ Equal,67,22,45,15_Recombination events.csv|9720,9720,15_Recombination events.csv,1938,10000,['18'],1000,0.0002,0.02,0.1,5000,50,1939,9998,1939-9998,['18'],"['26', '25', '28']","['13', '8', '27']",1,2,3,100,,,,,🎯 Perfect (1/1),59,100,1/1,100,1,1,1/1,90,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,3,1938-10000,100.0%,100.0%,0,100,,,,,,,,,,100,99.7,0,1,1,0,3,❌ None
5,5,6,1,100,14,9946,8,Standard_Match,Step 1: Approximate,9,9,13,44,4,35,69.2%,20.5%,✅ Equal,57,18,39,14_Recombination events.csv|9946,9946,14_Recombination events.csv,7932,9567,['17'],1000,0.0002,0.02,0.1,5000,50,7933,9567,7933-9567,['17'],"['22', '10', '38', '43', '37', '35', '39']","['19', '41', '46']",1,0,1,99.9388379204893,1635,408.8,25,Exact Recombinant Match,,58.98776758409787,,,,,,,90,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,8,7932-9567,99.9%,100.0%,0,99.9388379204893,,,,,,,,,,100,99.9,0,1,7,0,8,❌ None
6,6,7,2,100,13,9696,8,Standard_Match,Step 1: Approximate,9,9,12,46,3,37,75.0%,19.6%,✅ Equal,58,18,40,13_Recombination events.csv|9696,9696,13_Recombination events.csv,9864,10000,['35'],1000,0.0002,0.02,0.1,5000,50,9866,10000,9866-10000,['35'],"['36', '48']","['19', '1', '9', '7']",2,0,2,98.52941176470588,136,34,25,Exact Recombinant Match,,58.70588235294117,,,,,,,90,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,8,9864-10000,98.5%,100.0%,0,98.52941176470588,,,,,,,,,,100,99.8,0,1,7,0,8,❌ None
7,7,8,1,100,24,9915,4,⭐ Excellent Match (1/1),Step 2: Best Match,6,6,14,53,8,47,42.9%,11.3%,✅ Equal,67,12,55,24_Recombination events.csv|9915,9915,24_Recombination events.csv,1821,3027,['31'],1000,0.0002,0.02,0.1,5000,50,1821,3024,1821-3024,['31'],['25'],"['10', '1', '44', '21', '15', '33', '43', '34', '23', '20']",0,3,3,99.8,,,,,🎯 Perfect (1/1),58.96,100,1/1,100,1,1,1/1,90,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,4,1821-3027,99.8%,100.0%,0,99.8,,,,,,,,,,100,99.7,0,1,2,0,4,❌ None
8,8,9,1,100,23,9845,3,Standard_Match,Step 1: Approximate,10,9,21,43,11,34,47.6%,20.9%,❌ Diff: RDP=10 vs Santa=9,64,19,45,23_Recombination events.csv|9845,9845,23_Recombination events.csv,2610,9159,"['27', '36']",1000,0.0002,0.02,0.1,5000,50,2610,9160,2610-9160,"['27', '36']","['39', '21']",['3'],0,1,1,100,3451,862.8,25,Exact Recombinant Match,,59,,,,,,,90,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,3,2610-9159,100.0%,100.0%,0,100,,,,,,,,,,100,99.9,0,1,7,0,3,❌ None
9,9,10,1,100,3,9883,7,Standard_Match,Step 1: Approximate,15,13,19,31,4,18,78.9%,41.9%,❌ Diff: RDP=15 vs Santa=13,50,28,22,3_Recombination events.csv|9883,9883,3_Recombination events.csv,2766,10000,"['28', '48']",1000,0.0002,0.02,0.1,5000,50,2766,9994,2766-9994,"['28', '48']","['41', '46']","['29', '18', '24']",0,6,6,99.91705833563726,2766,691.5,25,Exact Recombinant Match,,58.983411667127456,,,,,,,90,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,7,2766-10000,99.9%,100.0%,0,99.91705833563726,,,,,,,,,,100,99.4,0,1,7,0,7,❌ None
10,10,11,1,100,25,9995,3,⭐ Excellent Match (1/1),Step 2: Best Match,4,4,6,47,2,43,66.7%,8.5%,✅ Equal,53,8,45,25_Recombination events.csv|9995,9995,25_Recombination events.csv,4572,5457,['14'],1000,0.0002,0.02,0.1,5000,50,4571,5456,4571-5456,['14'],['40'],"['22', '24', '25', '28', '2', '3', '34', '41', '48']",1,1,2,99.9,,,,,🎯 Perfect (1/1),58.98,100,1/1,100,1,1,1/1,90,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,3,4572-5457,99.9%,100.0%,0,99.9,,,,,,,,,,100,99.8,0,1,2,0,3,❌ None
11,11,12,1,100,21,10101,1,⭐ Excellent Match (1/1),Step 2: Best Match,4,4,5,37,1,33,80.0%,10.8%,✅ Equal,42,8,34,21_Recombination events.csv|10101,10101,21_Recombination events.csv,4056,10000,"['14', '7']",1000,0.0002,0.02,0.1,5000,50,4052,9988,4052-9988,"['14', '7']","['27', '3']","['10', '24', '28', '13', '21', '31', '15', '34', '23']",4,12,16,99.8,,,,,✅ Complete (2/2),56.96,100,2/2,100,2,2,2/2,70,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,4056-10000,99.8%,100.0%,0,99.8,,,,,,,,,,100,98.4,0,1,2,0,1,❌ None
12,12,13,1,100,19,9902,1,Standard_Match,Step 1: Approximate,3,3,4,28,1,25,75.0%,10.7%,✅ Equal,32,6,26,19_Recombination events.csv|9902,9902,19_Recombination events.csv,4605,10000,['12'],1000,0.0002,0.02,0.1,5000,50,4604,9990,4604-9990,['12'],['49'],['45'],1,10,11,99.81464318813715,4605,1151.2,25,Exact Recombinant Match,,58.96292863762744,,,,,,,90,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,4605-10000,99.8%,100.0%,0,99.81464318813715,,,,,,,,,,100,98.9,0,1,7,0,1,❌ None
13,13,14,1,100,2,9891,1,Standard_Match,Step 1: Approximate,7,7,11,68,4,61,63.6%,10.3%,✅ Equal,79,14,65,2_Recombination events.csv|9891,9891,2_Recombination events.csv,402,1968,['25'],1000,0.0002,0.02,0.1,5000,50,400,1968,400-1968,['25'],['7'],['47'],2,0,2,100,1566,391.5,25,Exact Recombinant Match,,59,,,,,,,90,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,402-1968,100.0%,100.0%,0,100,,,,,,,,,,100,99.8,0,1,7,0,1,❌ None
14,14,15,1,100,18,10005,1,Standard_Match,Step 1: Approximate,5,5,6,32,1,27,83.3%,15.6%,✅ Equal,38,10,28,18_Recombination events.csv|10005,10005,18_Recombination events.csv,7569,8814,"['13', '28']",1000,0.0002,0.02,0.1,5000,50,7568,8816,7568-8816,"['13', '28']","['50', '30']","['18', '27']",1,2,3,100,1245,311.2,25,Exact Recombinant Match,,59,,,,,,,90,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,7569-8814,100.0%,100.0%,0,100,,,,,,,,,,100,99.7,0,1,7,0,1,❌ None
15,15,16,1,100,17,9922,4,Standard_Match,Step 1: Approximate,7,6,9,44,2,38,77.8%,13.6%,❌ Diff: RDP=7 vs Santa=6,53,13,40,17_Recombination events.csv|9922,9922,17_Recombination events.csv,3393,3765,['17'],1000,0.0002,0.02,0.1,5000,50,3394,3765,3394-3765,['17'],"['6', '45', '32', '33', '11', '3', '14', '12', '27', '39', '48']","['30', '7', '34']",1,0,1,99.73118279569891,372,93,25,Exact Recombinant Match,,58.94623655913979,,,,,,,90,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,4,3393-3765,99.7%,100.0%,0,99.73118279569891,,,,,,,,,,100,99.9,0,1,7,0,4,❌ None
16,16,17,1,100,4,9991,"5, 6",Cross Match (Case_S1_E2E),Step 6: Cross Matches,7,6,8,57,1,51,87.5%,10.5%,❌ Diff: RDP=7 vs Santa=6,65,13,52,4_Recombination events.csv|9991,9991,4_Recombination events.csv,5406,10000,"['19', '33']",1000,0.0002,0.02,0.1,5000,50,5405,9998,5405-9368 | 9409-9998,"['19', '33'] | ['19', '33']","['41', '48'] | ['41', '48']","['22', '24', '17', '46', '5', '50', '40', '31', '11', '3', '43', '18', '39'] | ['7', '32']",,,,,,,,,,85.5,,,100,,,,50,,,,,,,100,,,,,100,,,,2,,,,,,,,,100,✅ Yes,✅ Yes,6,5,,0,✅ Yes,✅ Yes,"5, 6",5406-10000,100.0%,100.0%,100,100,,,,,,,,,,100,99.7,5,3,4,100,"6,5",✅ Start+End
17,17,18,1,100,6,10066,"1, 5",Cross Match (Case_S2_E1E),Step 6: Cross Matches,7,6,12,34,5,28,58.3%,17.6%,❌ Diff: RDP=7 vs Santa=6,46,13,33,6_Recombination events.csv|10066,10066,6_Recombination events.csv,2490,6267,['49'],1000,0.0002,0.02,0.1,5000,50,2490,6267,2490-6267 | 2523-3142,['49'] | ['49'],"['37', '13', '40'] | ['29', '22', '50', '6', '38', '36', '23', '39']","['18'] | ['7', '26', '17', '5']",,,,,,,,,,85.5,,,100,,,,50,,,,,,,100,,,,,100,,,,2,,,,,,,,,100,✅ Yes,✅ Yes,1,5,,0,✅ Yes,✅ Yes,"1, 5",2490-6267,100.0%,100.0%,100,100,,,,,,,,,,100,100,5,3,4,100,"1,5",✅ Start+End
18,18,19,1,100,9,9861,3,Standard_Match,Step 1: Approximate,11,10,14,52,3,42,78.6%,19.2%,❌ Diff: RDP=11 vs Santa=10,66,21,45,9_Recombination events.csv|9861,9861,9_Recombination events.csv,8619,9465,"['2', '26']",1000,0.0002,0.02,0.1,5000,50,8618,9466,8618-9466,"['2', '26']",['13'],['32'],1,1,2,100,846,211.5,25,Exact Recombinant Match,,59,,,,,,,90,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,3,8619-9465,100.0%,100.0%,0,100,,,,,,,,,,100,99.8,0,1,7,0,3,❌ None
19,19,20,2,99.95,6,10067,2,Standard_Match,Step 1: Approximate,7,6,12,34,5,28,58.3%,17.6%,❌ Diff: RDP=7 vs Santa=6,46,13,33,6_Recombination events.csv|10067,10067,6_Recombination events.csv,1953,6990,['46'],1000,0.0002,0.02,0.1,5000,50,1952,6990,1952-6990,['46'],['48'],"['1', '10', '34', '25']",1,0,1,100,4963,1240.8,25,Exact Recombinant Match,,59,,,,,,,90,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,2,1953-6990,100.0%,100.0%,0,100,,,,,,,,,,100,99.9,0,1,7,0,2,❌ None
20,20,21,2,99.95,12,9888,2,Standard_Match,Step 1: Approximate,12,10,19,61,7,51,63.2%,16.4%,❌ Diff: RDP=12 vs Santa=10,80,22,58,12_Recombination events.csv|9888,9888,12_Recombination events.csv,234,7677,['22'],1000,0.0002,0.02,0.1,5000,50,234,7678,234-7678,['22'],"['30', '26', '47']",['27'],0,1,1,100,2557,639.2,25,Exact Recombinant Match,,59,,,,,,,90,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,2,234-7677,100.0%,100.0%,0,100,,,,,,,,,,100,99.9,0,1,7,0,2,❌ None
