SantaID,Santa_Event,Santa_Tag,Santa_INI,Santa_END,Santa_Recombinant,santa_popSize,santa_mutationRate,santa_recombProb,santa_dualInfectProb,santa_genCount,santa_sampleSize,RDP_Event_ID,RDP_INI,RDP_END,RDP_Breakpoints,RDP_Recombinant,RDP_Minor,RDP_Major,INI_Difference,END_Difference,Total_Difference,Overlap_Percentage,Fragment_Size,Dynamic_Tolerance,Tolerance_Percent,Source_Tab,Match_Type,Validation,Recombinant_Match_Quality,Quality_Score,Jaccard_Similarity,Sequence_Ratio,Sequence_Coverage,Santa_Recombinant_Count,RDP_Recombinant_Count,Covered_Sequences,Breakpoint_Score,Overlap_Score,Santa_Breakpoint,Santa_Size,Santa_Seqs_Count,Santa_Recombinant_Full,Santa_Recombinant_List,Chain_Score,Start_Score,End_Score,Continuity_Score,Recombinant_Score,Seq_Ratio,Seq_Ratio_%,Reaches_Santa_End,Reaches_End,Reaches_Start,RDP_Recombinant_Full,RDP_Recombinant_List,RDP_Tags,Chain_Length,Chain_INI,Chain_END,Start_Distance,End_Distance,Total_Gap,Chain_Logic_Valid,Logic_Validation_Msg,All_Collected_Recombinants,All_Collected_Recombinants_Count,Recombinants_List,Coverage_Percentage,Start_Gap,End_Gap,_Total_Distance,RDP_Match_Types,Tag,Santa_ID,Santa_Breakpoints,Recombinant_Match_Score,Start_End_Diff_Score,RDP_Set,Tag_Specific_Quality_Score,Tag_Rank,Global_Rank,Tag_RDP_Count,Tag_Santa_Count,Tag_Original_RDP_Count,Tag_Original_Santa_Count,Tag_Remaining_RDP,Tag_Remaining_Santa,Tag_RDP_Match_Rate,Tag_Santa_Match_Rate,RDP_Santa_Equal,Tag_Total_Original,Tag_Total_Matched,Tag_Total_Remaining
1_Recombination events.csv|9903,9903,1_Recombination events.csv,4968,5703,['46'],1000,0.0002,0.02,0.1,5000,50,2,4968,5700,4968-5700,['46'],['39'],"['21', '11']",0.0,3.0,3.0,99.6,,,,Step 2: Best Match,⭐ Excellent Match (1/1),,🎯 Perfect (1/1),58.92,100.0,1/1,100.0,1.0,1.0,1/1,98.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9903,4968-5703,100.0,99.7,2,100.0,1,1,7,7,10,39,3,32,70.0%,17.9%,✅ Equal,49,14,35
64_Recombination events.csv|9725,9725,64_Recombination events.csv,1674,3348,['8'],1000,0.0002,0.02,0.1,5000,50,1,1674,3348,1674-3348,['8'],['25'],['48'],0.0,0.0,0.0,100.0,1674.0,418.5,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,9725,1674-3348,100.0,100.0,1,100.0,1,2,8,8,12,54,4,46,66.7%,14.8%,✅ Equal,66,16,50
68_Recombination events.csv|10168,10168,68_Recombination events.csv,1200,10000,['45'],1000,0.0002,0.02,0.1,5000,50,1,1200,9996,1200-9996,['45'],['25'],"['3', '9', '2']",0.0,4.0,4.0,100.0,,,,Step 2: Best Match,⭐ Excellent Match (1/1),,🎯 Perfect (1/1),59.0,100.0,1/1,100.0,1.0,1.0,1/1,98.3,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,10168,1200-10000,100.0,99.6,1,100.0,1,3,5,5,15,45,10,40,33.3%,11.1%,✅ Equal,60,10,50
39_Recombination events.csv|10099,10099,39_Recombination events.csv,4824,10000,['14'],1000,0.0002,0.02,0.1,5000,50,1,4824,9998,4824-9998,['14'],['10'],"['5', '39', '30']",0.0,2.0,2.0,100.0,,,,Step 2: Best Match,🎯 Perfect Match (1/1),,🎯 Perfect (1/1),59.0,100.0,1/1,100.0,1.0,1.0,1/1,99.8,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,10099,4824-10000,100.0,99.8,1,100.0,1,4,8,8,14,53,6,45,57.1%,15.1%,✅ Equal,67,16,51
67_Recombination events.csv|9684,9684,67_Recombination events.csv,2562,10000,['19'],1000,0.0002,0.02,0.1,5000,50,1,2562,9998,2562-9998,['19'],"['26', '20', '1', '17', '24']","['39', '29', '22', '15', '16', '11', '2', '44', '30', '10']",0.0,2.0,2.0,100.0,,,,Step 2: Best Match,🎯 Perfect Match (1/1),,🎯 Perfect (1/1),59.0,100.0,1/1,100.0,1.0,1.0,1/1,99.6,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,9684,2562-10000,100.0,99.8,1,100.0,1,5,10,10,11,44,1,34,90.9%,22.7%,✅ Equal,55,20,35
2_Recombination events.csv|9891,9891,2_Recombination events.csv,402,1968,['25'],1000,0.0002,0.02,0.1,5000,50,1,400,1968,400-1968,['25'],['7'],['47'],2.0,0.0,2.0,100.0,1566.0,391.5,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,9891,402-1968,100.0,99.8,1,100.0,1,6,9,8,11,68,2,60,81.8%,11.8%,❌ Diff: RDP=9 vs Santa=8,79,17,62
86_Recombination events.csv|10091,10091,86_Recombination events.csv,1602,4404,['8'],1000,0.0002,0.02,0.1,5000,50,3,1602,4404,1602-4404,['8'],"['28', '33']",['45'],0.0,0.0,0.0,100.0,2802.0,700.5,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,10091,1602-4404,100.0,100.0,3,100.0,1,7,6,6,7,28,1,22,85.7%,21.4%,✅ Equal,35,12,23
19_Recombination events.csv|9902,9902,19_Recombination events.csv,4605,10000,['12'],1000,0.0002,0.02,0.1,5000,50,1,4604,9990,4604-9990,['12'],['49'],['45'],1.0,10.0,11.0,99.81464318813717,4605.0,1151.2,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,58.962928637627435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,9902,4605-10000,100.0,98.9,1,100.0,1,8,3,3,4,28,1,25,75.0%,10.7%,✅ Equal,32,6,26
40_Recombination events.csv|10012,10012,40_Recombination events.csv,2007,7875,['31'],1000,0.0002,0.02,0.1,5000,50,2,2007,7874,2007-7874,['31'],"['14', '7']","['32', '39', '1', '44', '13', '30', '11']",0.0,1.0,1.0,100.0,,,,Step 2: Best Match,🎯 Perfect Match (1/1),,🎯 Perfect (1/1),59.0,100.0,1/1,100.0,1.0,1.0,1/1,99.9,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,10012,2007-7875,100.0,99.9,2,100.0,1,9,9,8,13,29,4,21,69.2%,27.6%,❌ Diff: RDP=9 vs Santa=8,42,17,25
65_Recombination events.csv|9891,9891,65_Recombination events.csv,6039,6924,['9'],1000,0.0002,0.02,0.1,5000,50,4,6038,6924,6038-6924,['9'],['21'],"['25', '11']",1.0,0.0,1.0,100.0,885.0,221.2,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,9891,6039-6924,100.0,99.9,4,100.0,1,10,7,7,10,48,3,41,70.0%,14.6%,✅ Equal,58,14,44
18_Recombination events.csv|10005,10005,18_Recombination events.csv,7569,8814,"['13', '28']",1000,0.0002,0.02,0.1,5000,50,1,7568,8816,7568-8816,"['13', '28']","['30', '50']","['18', '27']",1.0,2.0,3.0,100.0,1245.0,311.2,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,10005,7569-8814,100.0,99.7,1,100.0,1,11,5,5,6,32,1,27,83.3%,15.6%,✅ Equal,38,10,28
