SantaID,Santa_Event,Santa_Tag,Santa_INI,Santa_END,Santa_Recombinant,santa_popSize,santa_mutationRate,santa_recombProb,santa_dualInfectProb,santa_genCount,santa_sampleSize,RDP_Event_ID,RDP_INI,RDP_END,RDP_Breakpoints,RDP_Recombinant,RDP_Minor,RDP_Major,INI_Difference,END_Difference,Total_Difference,Overlap_Percentage,Fragment_Size,Dynamic_Tolerance,Tolerance_Percent,Source_Tab,Match_Type,Validation,Recombinant_Match_Quality,Quality_Score,Jaccard_Similarity,Sequence_Ratio,Sequence_Coverage,Santa_Recombinant_Count,RDP_Recombinant_Count,Covered_Sequences,Breakpoint_Score,Overlap_Score,Santa_Breakpoint,Santa_Size,Santa_Seqs_Count,Santa_Recombinant_Full,Santa_Recombinant_List,Chain_Score,Start_Score,End_Score,Continuity_Score,Recombinant_Score,Seq_Ratio,Seq_Ratio_%,Reaches_Santa_End,Reaches_End,Reaches_Start,RDP_Recombinant_Full,RDP_Recombinant_List,RDP_Tags,Chain_Length,Chain_INI,Chain_END,Start_Distance,End_Distance,Total_Gap,Chain_Logic_Valid,Logic_Validation_Msg,All_Collected_Recombinants,All_Collected_Recombinants_Count,Recombinants_List,Coverage_Percentage,Start_Gap,End_Gap,_Total_Distance,RDP_Match_Types,Tag,Santa_ID,Recombinant_Match_Score,Start_End_Diff_Score,RDP_Set,Tag_Specific_Quality_Score,Tag_Rank,Global_Rank,Tag_RDP_Count,Tag_Santa_Count,Tag_Original_RDP_Count,Tag_Original_Santa_Count,Tag_Remaining_RDP,Tag_Remaining_Santa,Tag_RDP_Match_Rate,Tag_Santa_Match_Rate,RDP_Santa_Equal,Tag_Total_Original,Tag_Total_Matched,Tag_Total_Remaining
1_Recombination events.csv|4889,4889,1_Recombination events.csv,4053,5262,['23'],1000,0.0001,0.01,0.1,5000,50,6,4054,5262,4054-5262,['23'],['50'],"['25', '15', '48']",1.0,0.0,1.0,99.9172870140612,1209.0,302.2,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,58.98345740281224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4889,100.0,99.9,6,100.0,1,1,9,7,15,20,6,13,60.0%,35.0%,❌ Diff: RDP=9 vs Santa=7,35,16,19
58_Recombination events.csv|4934,4934,58_Recombination events.csv,1500,10000,['16'],1000,0.0001,0.01,0.1,5000,50,1,1501,9996,1501-9996,['16'],"['22', '34']",['3'],1.0,4.0,5.0,99.94117647058823,1500.0,375.0,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,58.98823529411764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,4934,100.0,99.5,1,100.0,2,2,3,3,3,12,0,9,100.0%,25.0%,✅ Equal,15,6,9
22_Recombination events.csv|4974,4974,22_Recombination events.csv,6630,7800,['40'],1000,0.0001,0.01,0.1,5000,50,1,6630,7803,6630-7803,['40'],['17'],"['42', '4', '19', '44']",0.0,3.0,3.0,100.0,1170.0,292.5,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,4974,100.0,99.7,1,100.0,1,3,3,3,3,15,0,12,100.0%,20.0%,✅ Equal,18,6,12
52_Recombination events.csv|5093,5093,52_Recombination events.csv,9435,9792,['27'],1000,0.0001,0.01,0.1,5000,50,3,9434,9784,9434-9784,['27'],['33'],"['4', '43', '19', '50', '18', '13', '29', '2']",1.0,8.0,9.0,97.8,,,,Step 2: Best Match,✅ Complete Match (1/1),,🎯 Perfect (1/1),58.56,100.0,1/1,100.0,1.0,1.0,1/1,87.4,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,5093,100.0,99.1,3,100.0,1,4,3,3,4,26,1,23,75.0%,11.5%,✅ Equal,30,6,24
54_Recombination events.csv|4731,4731,54_Recombination events.csv,7473,10000,"['23', '3', '31', '39', '42', '48', '49']",1000,0.0001,0.01,0.1,5000,50,2,7474,9999,7474-9999,"['49', '39', '42', '31', '3', '48', '23']","['4', '5', '47', '25', '13', '14', '46', '8', '30', '40', '29', '7', '24', '34', '43', '12', '45', '33', '15', '38']","['18', '10', '50', '35']",1.0,1.0,2.0,99.9,,,,Step 2: Best Match,🎯 Perfect Match (1/1),,✅ Complete (7/7),58.980000000000004,100.0,7/7,100.0,7.0,7.0,7/7,99.6,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,4731,71.42857142857143,99.8,2,100.0,1,5,4,4,5,26,1,22,80.0%,15.4%,✅ Equal,31,8,23
55_Recombination events.csv|5016,5016,55_Recombination events.csv,6864,7590,"['25', '3']",1000,0.0001,0.01,0.1,5000,50,3,6866,7590,6866-7590,"['25', '3']","['20', '23', '46', '9']","['49', '5', '40', '47', '17']",2.0,0.0,2.0,99.72451790633609,726.0,181.5,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,58.94490358126722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,5016,100.0,99.8,3,100.0,1,6,5,5,9,17,4,12,55.6%,29.4%,✅ Equal,26,10,16
2_Recombination events.csv|4973,4973,2_Recombination events.csv,3750,5313,['10'],1000,0.0001,0.01,0.1,5000,50,2,3750,5314,3750-5314,['10'],"['42', '2', '40']","['47', '44']",0.0,1.0,1.0,100.0,1563.0,390.8,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4973,100.0,99.9,2,100.0,1,7,3,3,3,11,0,8,100.0%,27.3%,✅ Equal,14,6,8
55_Recombination events.csv|5026,5026,55_Recombination events.csv,7431,7827,['7'],1000,0.0001,0.01,0.1,5000,50,4,7430,7828,7430-7828,['7'],"['26', '16', '36', '33', '2']","['31', '4']",1.0,1.0,2.0,100.0,396.0,99.0,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,5026,100.0,99.8,4,100.0,2,8,5,5,9,17,4,12,55.6%,29.4%,✅ Equal,26,10,16
56_Recombination events.csv|4812,4812,56_Recombination events.csv,3255,8160,"['25', '3', '30', '5']",1000,0.0001,0.01,0.1,5000,50,1,3256,8156,3256-8156,"['25', '30', '3', '5']","['9', '40']","['22', '4', '43', '42', '10', '19', '50', '20', '29', '48', '2', '15', '32']",1.0,4.0,5.0,99.9,,,,Step 2: Best Match,🎯 Perfect Match (1/1),,✅ Complete (4/4),58.980000000000004,100.0,4/4,100.0,4.0,4.0,4/4,99.5,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,4812,100.0,99.5,1,100.0,1,9,6,6,6,12,0,6,100.0%,50.0%,✅ Equal,18,12,6
57_Recombination events.csv|4975,4975,57_Recombination events.csv,1065,7212,['9'],1000,0.0001,0.01,0.1,5000,50,2,1068,7213,1068-7213,['9'],"['20', '25', '10', '31']","['7', '27', '36', '41', '2']",3.0,1.0,4.0,100.0,,,,Step 2: Best Match,🎯 Perfect Match (1/1),,🎯 Perfect (1/1),59.0,100.0,1/1,100.0,1.0,1.0,1/1,99.5,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,4975,100.0,99.6,2,100.0,1,10,4,4,4,14,0,10,100.0%,28.6%,✅ Equal,18,8,10
