SantaID,Santa_Event,Santa_Tag,Santa_INI,Santa_END,Santa_Recombinant,santa_popSize,santa_mutationRate,santa_recombProb,santa_dualInfectProb,santa_genCount,santa_sampleSize,RDP_Event_ID,RDP_INI,RDP_END,RDP_Breakpoints,RDP_Recombinant,RDP_Minor,RDP_Major,INI_Difference,END_Difference,Total_Difference,Overlap_Percentage,Fragment_Size,Dynamic_Tolerance,Tolerance_Percent,Source_Tab,Match_Type,Validation,Recombinant_Match_Quality,Quality_Score,Jaccard_Similarity,Sequence_Ratio,Sequence_Coverage,Santa_Recombinant_Count,RDP_Recombinant_Count,Covered_Sequences,Breakpoint_Score,Overlap_Score,Santa_Breakpoint,Santa_Size,Santa_Seqs_Count,Santa_Recombinant_Full,Santa_Recombinant_List,Chain_Score,Start_Score,End_Score,Continuity_Score,Recombinant_Score,Seq_Ratio,Seq_Ratio_%,Reaches_Santa_End,Reaches_End,Reaches_Start,RDP_Recombinant_Full,RDP_Recombinant_List,RDP_Tags,Chain_Length,Chain_INI,Chain_END,Start_Distance,End_Distance,Total_Gap,Chain_Logic_Valid,Logic_Validation_Msg,All_Collected_Recombinants,All_Collected_Recombinants_Count,Recombinants_List,Coverage_Percentage,Start_Gap,End_Gap,_Total_Distance,RDP_Match_Types,Tag,Santa_ID,Santa_Breakpoints,Recombinant_Match_Score,Start_End_Diff_Score,RDP_Set,Tag_Specific_Quality_Score,Tag_Rank,Global_Rank,Tag_RDP_Count,Tag_Santa_Count,Tag_Original_RDP_Count,Tag_Original_Santa_Count,Tag_Remaining_RDP,Tag_Remaining_Santa,Tag_RDP_Match_Rate,Tag_Santa_Match_Rate,RDP_Santa_Equal,Tag_Total_Original,Tag_Total_Matched,Tag_Total_Remaining
75_Recombination events.csv|4907,4907,75_Recombination events.csv,4170,8160,"['24', '25', '31', '39', '40', '47']",1000,2.5e-05,0.01,0.1,5000,50,1,4178,7962,4178-7962,"['25', '39', '40', '47', '24', '31']","['35', '5', '10', '46', '27', '4', '28', '43', '29', '22', '50', '41', '42', '8', '26', '7', '12']","['3', '2']",8.0,198.0,206.0,94.8,,,,Step 2: Best Match,✅ Complete Match (1/1),,✅ Complete (6/6),53.96,100.0,6/6,100.0,6.0,6.0,6/6,74.2,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,4907,4170-8160,33.33333333333333,79.4,1,100.0,1,1,1,1,1,10,0,9,100.0%,10.0%,✅ Equal,11,2,9
19_Recombination events.csv|4617,4617,19_Recombination events.csv,2523,9735,['35'],1000,2.5e-05,0.01,0.1,5000,50,3,2524,9750,2524-9750,['35'],"['3', '20', '23', '46', '39', '14', '18', '42', '47']","['38', '21']",1.0,15.0,16.0,100.0,,,,Step 2: Best Match,⭐ Excellent Match (1/1),,🎯 Perfect (1/1),57.0,100.0,1/1,100.0,1.0,1.0,1/1,97.1,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,4617,2523-9735,100.0,98.4,3,100.0,1,2,4,4,4,13,0,9,100.0%,30.8%,✅ Equal,17,8,9
26_Recombination events.csv|4903,4903,26_Recombination events.csv,1848,10000,['2'],1000,2.5e-05,0.01,0.1,5000,50,1,1847,9966,1847-9966,['2'],"['3', '17', '4', '13', '28', '43', '8', '33', '31']","['25', '23']",1.0,34.0,35.0,99.6,,,,Step 2: Best Match,✅ Complete Match (1/1),,🎯 Perfect (1/1),56.92,100.0,1/1,100.0,1.0,1.0,1/1,90.5,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,4903,1848-10000,100.0,96.5,1,100.0,1,3,2,2,2,22,0,20,100.0%,9.1%,✅ Equal,24,4,20
43_Recombination events.csv|4957,4957,43_Recombination events.csv,3573,5832,['37'],1000,2.5e-05,0.01,0.1,5000,50,6,3564,5836,3564-5836,['37'],"['35', '25', '34', '10', '6', '36', '4', '32', '39', '29', '14', '12', '18', '49', '15', '31', '7', '2']","['1', '5', '21', '42']",9.0,4.0,13.0,100.0,2259.0,564.8,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,4957,3573-5832,100.0,98.7,6,100.0,1,4,5,5,6,12,1,7,83.3%,41.7%,✅ Equal,18,10,8
25_Recombination events.csv|4959,4959,25_Recombination events.csv,1806,3207,"['18', '41']",1000,2.5e-05,0.01,0.1,5000,50,3,1848,3221,1848-3221,"['18', '41']",['28'],"['30', '6', '36', '9', '15', '44', '1', '48', '47', '33', '2']",42.0,14.0,56.0,97.00214132762312,1401.0,350.2,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,56.400428265524624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,4959,1806-3207,100.0,94.4,3,100.0,1,5,3,3,3,22,0,19,100.0%,13.6%,✅ Equal,25,6,19
87_Recombination events.csv|5009,5009,87_Recombination events.csv,3096,6087,['5'],1000,2.5e-05,0.01,0.1,5000,50,1,3100,6092,3100-6092,['5'],"['8', '26', '41', '22']","['35', '10', '36', '27', '43', '19', '14', '1', '48', '45', '49', '47']",4.0,5.0,9.0,99.9,,,,Step 2: Best Match,⭐ Excellent Match (1/1),,🎯 Perfect (1/1),58.980000000000004,100.0,1/1,100.0,1.0,1.0,1/1,98.5,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,5009,3096-6087,100.0,99.1,1,100.0,1,6,7,7,12,25,5,18,58.3%,28.0%,✅ Equal,37,14,23
88_Recombination events.csv|4852,4852,88_Recombination events.csv,5112,7539,['36'],1000,2.5e-05,0.01,0.1,5000,50,2,5108,7538,5108-7538,['36'],"['10', '2']","['5', '6', '12']",4.0,1.0,5.0,100.0,,,,Step 2: Best Match,⭐ Excellent Match (1/1),,🎯 Perfect (1/1),59.0,100.0,1/1,100.0,1.0,1.0,1/1,99.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,4852,5112-7539,100.0,99.5,2,100.0,1,7,4,4,4,8,0,4,100.0%,50.0%,✅ Equal,12,8,4
77_Recombination events.csv|4925,4925,77_Recombination events.csv,4218,4605,['28'],1000,2.5e-05,0.01,0.1,5000,50,2,4216,4604,4216-4604,['28'],['31'],"['1', '39', '29']",2.0,1.0,3.0,99.74160206718346,387.0,96.8,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,58.94832041343669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,4925,4218-4605,100.0,99.7,2,100.0,1,8,3,3,4,18,1,15,75.0%,16.7%,✅ Equal,22,6,16
89_Recombination events.csv|4903,4903,89_Recombination events.csv,3654,6453,['16'],1000,2.5e-05,0.01,0.1,5000,50,2,3680,6454,3680-6454,['16'],"['24', '29']","['21', '31']",26.0,1.0,27.0,99.1,,,,Step 2: Best Match,⭐ Excellent Match (1/1),,🎯 Perfect (1/1),56.82,100.0,1/1,100.0,1.0,1.0,1/1,95.2,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,4903,3654-6453,100.0,97.3,2,100.0,1,9,3,3,5,11,2,8,60.0%,27.3%,✅ Equal,16,6,10
44_Recombination events.csv|4905,4905,44_Recombination events.csv,87,10000,"['1', '18', '4']",1000,2.5e-05,0.01,0.1,5000,50,4,84,9986,84-9986,"['1', '18', '4']",['6'],"['3', '20', '47', '36', '32', '39', '19', '48', '26', '16', '2', '33', '12']",3.0,14.0,17.0,99.9,,,,Step 2: Best Match,✅ Complete Match (1/1),,✅ Complete (3/3),56.980000000000004,100.0,3/3,100.0,3.0,3.0,3/3,2.3,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,4905,87-10000,100.0,98.3,4,100.0,1,10,4,4,5,23,1,19,80.0%,17.4%,✅ Equal,28,8,20
21_Recombination events.csv|4865,4865,21_Recombination events.csv,3225,7563,"['10', '12', '22', '46', '6']",1000,2.5e-05,0.01,0.1,5000,50,1,3223,7558,3223-7558,"['10', '46', '6', '22', '12']",['7'],"['3', '17', '13', '43', '18', '50', '16', '15']",2.0,5.0,7.0,99.9,,,,Step 2: Best Match,🎯 Perfect Match (1/1),,✅ Complete (5/5),58.980000000000004,100.0,5/5,100.0,5.0,5.0,5/5,99.2,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,4865,3225-7563,60.0,99.3,1,100.0,1,11,3,3,3,16,0,13,100.0%,18.8%,✅ Equal,19,6,13
