SantaID,Santa_Event,Santa_Tag,Santa_INI,Santa_END,Santa_Recombinant,santa_popSize,santa_mutationRate,santa_recombProb,santa_dualInfectProb,santa_genCount,santa_sampleSize,RDP_Event_ID,RDP_INI,RDP_END,RDP_Breakpoints,RDP_Recombinant,RDP_Minor,RDP_Major,INI_Difference,END_Difference,Total_Difference,Overlap_Percentage,Fragment_Size,Dynamic_Tolerance,Tolerance_Percent,Source_Tab,Match_Type,Validation,Recombinant_Match_Quality,Quality_Score,Jaccard_Similarity,Sequence_Ratio,Sequence_Coverage,Santa_Recombinant_Count,RDP_Recombinant_Count,Covered_Sequences,Breakpoint_Score,Overlap_Score,Santa_Breakpoint,Santa_Size,Santa_Seqs_Count,Santa_Recombinant_Full,Santa_Recombinant_List,Chain_Score,Start_Score,End_Score,Continuity_Score,Recombinant_Score,Seq_Ratio,Seq_Ratio_%,Reaches_Santa_End,Reaches_End,Reaches_Start,RDP_Recombinant_Full,RDP_Recombinant_List,RDP_Tags,Chain_Length,Chain_INI,Chain_END,Start_Distance,End_Distance,Total_Gap,Chain_Logic_Valid,Logic_Validation_Msg,All_Collected_Recombinants,All_Collected_Recombinants_Count,Recombinants_List,Coverage_Percentage,Start_Gap,End_Gap,_Total_Distance,RDP_Match_Types,Tag,Santa_ID,Santa_Breakpoints,Recombinant_Match_Score,Start_End_Diff_Score,RDP_Set,Tag_Specific_Quality_Score,Tag_Rank,Global_Rank,Tag_RDP_Count,Tag_Santa_Count,Tag_Original_RDP_Count,Tag_Original_Santa_Count,Tag_Remaining_RDP,Tag_Remaining_Santa,Tag_RDP_Match_Rate,Tag_Santa_Match_Rate,RDP_Santa_Equal,Tag_Total_Original,Tag_Total_Matched,Tag_Total_Remaining
48_Recombination events.csv|2495,2495,48_Recombination events.csv,3828,10000,['12'],1000,0.0002,0.005,0.1,5000,50,1,3828,9996,3828-9996,['12'],['36'],['44'],0.0,4.0,4.0,99.93519118600129,3828.0,957.0,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,58.98703823720026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,2495,3828-10000,100.0,99.6,1,100.0,2,1,2,2,2,5,0,3,100.0%,40.0%,✅ Equal,7,4,3
23_Recombination events.csv|2521,2521,23_Recombination events.csv,5685,10000,"['10', '33']",1000,0.0002,0.005,0.1,5000,50,1,5691,9997,5691-9997,"['10', '33']",['17'],"['29', '43', '38', '16', '49', '20', '21', '35']",6.0,3.0,9.0,99.8,,,,Step 2: Best Match,⭐ Excellent Match (1/1),,✅ Complete (2/2),58.96,100.0,2/2,100.0,2.0,2.0,2/2,99.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,2521,5685-10000,100.0,99.1,1,100.0,1,2,4,4,4,11,0,7,100.0%,36.4%,✅ Equal,15,8,7
64_Recombination events.csv|2380,2380,64_Recombination events.csv,7845,10000,"['10', '11', '12', '14', '22', '29', '3', '32']",1000,0.0002,0.005,0.1,5000,50,2,7844,9991,7844-9991,"['29', '32', '14', '3', '12', '10', '22', '11']","['5', '41', '2', '23', '33', '49']","['46', '39', '43', '48', '24', '13', '20', '47', '27']",1.0,9.0,10.0,99.6,,,,Step 2: Best Match,⭐ Excellent Match (1/1),,✅ Complete (8/8),58.92,100.0,8/8,100.0,8.0,8.0,8/8,97.7,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,2380,7845-10000,50.0,99.0,2,100.0,1,3,2,2,2,9,0,7,100.0%,22.2%,✅ Equal,11,4,7
65_Recombination events.csv|2330,2330,65_Recombination events.csv,7884,10000,"['22', '23', '29', '37', '8']",1000,0.0002,0.005,0.1,5000,50,1,7904,9996,7904-9996,"['29', '23', '37', '22', '8']","['30', '4', '20', '21', '12', '44', '34']","['19', '2', '14', '40', '10']",20.0,4.0,24.0,98.9,,,,Step 2: Best Match,✅ Complete Match (1/1),,✅ Complete (5/5),56.78,100.0,5/5,100.0,5.0,5.0,5/5,94.3,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,2330,7884-10000,60.0,97.6,1,100.0,1,4,1,1,1,3,0,2,100.0%,33.3%,✅ Equal,4,2,2
66_Recombination events.csv|2495,2495,66_Recombination events.csv,7995,10000,"['14', '2', '23', '39', '44', '5', '6']",1000,0.0002,0.005,0.1,5000,50,1,7996,10000,7996-10000,"['5', '6', '39', '2', '14', '23', '44']","['30', '3', '34']",['31'],1.0,0.0,1.0,100.0,,,,Step 2: Best Match,🎯 Perfect Match (1/1),,✅ Complete (7/7),59.0,100.0,7/7,100.0,7.0,7.0,7/7,99.8,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,2495,7995-10000,42.857142857142854,99.9,1,100.0,1,5,1,1,1,11,0,10,100.0%,9.1%,✅ Equal,12,2,10
67_Recombination events.csv|2418,2418,67_Recombination events.csv,4395,7926,"['11', '27', '37', '38', '7']",1000,0.0002,0.005,0.1,5000,50,1,4396,7930,4396-7930,"['7', '38', '37', '27', '11']","['20', '34', '14']","['39', '6', '19', '2', '13', '16', '50', '31', '3', '36', '42', '15', '18']",1.0,4.0,5.0,100.0,,,,Step 2: Best Match,🎯 Perfect Match (1/1),,✅ Complete (5/5),59.0,100.0,5/5,100.0,5.0,5.0,5/5,99.3,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,2418,4395-7926,60.0,99.5,1,100.0,1,6,2,2,3,9,1,7,66.7%,22.2%,✅ Equal,12,4,8
31_Recombination events.csv|2529,2529,31_Recombination events.csv,3261,10000,['33'],1000,0.0002,0.005,0.1,5000,50,1,3258,10000,3258-10000,['33'],['14'],"['9', '24', '50', '31', '3', '8']",3.0,0.0,3.0,100.0,3261.0,815.2,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,2529,3261-10000,100.0,99.7,1,100.0,1,7,4,4,4,6,0,2,100.0%,66.7%,✅ Equal,10,8,2
30_Recombination events.csv|2435,2435,30_Recombination events.csv,975,9738,"['17', '43', '8']",1000,0.0002,0.005,0.1,5000,50,1,975,9738,975-9738,"['8', '43', '17']",['34'],['5'],0.0,0.0,0.0,100.0,,,,Step 2: Best Match,🎯 Perfect Match (1/1),,✅ Complete (3/3),60.0,100.0,3/3,100.0,3.0,3.0,3/3,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,2435,975-9738,33.33333333333333,100.0,1,100.0,1,8,1,1,1,8,0,7,100.0%,12.5%,✅ Equal,9,2,7
3_Recombination events.csv|2460,2460,3_Recombination events.csv,4251,8481,"['13', '18', '25', '48']",1000,0.0002,0.005,0.1,5000,50,1,4250,8482,4250-8482,"['25', '18', '48', '13']","['22', '26', '33']","['6', '41', '17', '2', '21', '37', '45']",1.0,1.0,2.0,100.0,,,,Step 2: Best Match,🎯 Perfect Match (1/1),,✅ Complete (4/4),59.0,100.0,4/4,100.0,4.0,4.0,4/4,99.8,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2460,4251-8481,25.0,99.8,1,100.0,1,9,1,1,1,6,0,5,100.0%,16.7%,✅ Equal,7,2,5
68_Recombination events.csv|2550,2550,68_Recombination events.csv,4884,10000,['26'],1000,0.0002,0.005,0.1,5000,50,1,4884,10000,4884-10000,['26'],['18'],"['47', '31', '11', '17']",0.0,0.0,0.0,100.0,4884.0,1221.0,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,2550,4884-10000,100.0,100.0,1,100.0,1,10,4,4,4,7,0,3,100.0%,57.1%,✅ Equal,11,8,3
7_Recombination events.csv|2580,2580,7_Recombination events.csv,1128,10000,"['39', '4', '48']",1000,0.0002,0.005,0.1,5000,50,1,1130,9994,1130-9994,"['4', '39', '48']","['13', '44', '11']","['46', '30', '36', '49', '8']",2.0,6.0,8.0,99.9,,,,Step 2: Best Match,⭐ Excellent Match (1/1),,✅ Complete (3/3),58.980000000000004,100.0,3/3,100.0,3.0,3.0,3/3,96.5,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2580,1128-10000,33.33333333333333,99.2,1,100.0,1,11,2,2,2,9,0,7,100.0%,22.2%,✅ Equal,11,4,7
72_Recombination events.csv|2611,2611,72_Recombination events.csv,2313,5424,['33'],1000,0.0002,0.005,0.1,5000,50,1,2313,5426,2313-5426,['33'],"['40', '6', '16']","['10', '50', '43']",0.0,2.0,2.0,100.0,3111.0,777.8,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,2611,2313-5424,100.0,99.8,1,100.0,1,12,4,4,5,15,1,11,80.0%,26.7%,✅ Equal,20,8,12
