SantaID,Santa_Event,Santa_Tag,Santa_INI,Santa_END,Santa_Recombinant,santa_popSize,santa_mutationRate,santa_recombProb,santa_dualInfectProb,santa_genCount,santa_sampleSize,RDP_Event_ID,RDP_INI,RDP_END,RDP_Breakpoints,RDP_Recombinant,RDP_Minor,RDP_Major,INI_Difference,END_Difference,Total_Difference,Overlap_Percentage,Fragment_Size,Dynamic_Tolerance,Tolerance_Percent,Source_Tab,Match_Type,Validation,Recombinant_Match_Quality,Quality_Score,Jaccard_Similarity,Sequence_Ratio,Sequence_Coverage,Santa_Recombinant_Count,RDP_Recombinant_Count,Covered_Sequences,Breakpoint_Score,Overlap_Score,Santa_Breakpoint,Santa_Size,Santa_Seqs_Count,Santa_Recombinant_Full,Santa_Recombinant_List,Chain_Score,Start_Score,End_Score,Continuity_Score,Recombinant_Score,Seq_Ratio,Seq_Ratio_%,Reaches_Santa_End,Reaches_End,Reaches_Start,RDP_Recombinant_Full,RDP_Recombinant_List,RDP_Tags,Chain_Length,Chain_INI,Chain_END,Start_Distance,End_Distance,Total_Gap,Chain_Logic_Valid,Logic_Validation_Msg,All_Collected_Recombinants,All_Collected_Recombinants_Count,Recombinants_List,Coverage_Percentage,Start_Gap,End_Gap,_Total_Distance,RDP_Match_Types,Tag,Santa_ID,Santa_Breakpoints,Recombinant_Match_Score,Start_End_Diff_Score,RDP_Set,Tag_Specific_Quality_Score,Tag_Rank,Global_Rank,Tag_RDP_Count,Tag_Santa_Count,Tag_Original_RDP_Count,Tag_Original_Santa_Count,Tag_Remaining_RDP,Tag_Remaining_Santa,Tag_RDP_Match_Rate,Tag_Santa_Match_Rate,RDP_Santa_Equal,Tag_Total_Original,Tag_Total_Matched,Tag_Total_Remaining
10_Recombination events.csv|2371,2371,10_Recombination events.csv,6780,10000,"['18', '34']",1000,2.5e-05,0.005,0.1,5000,50,1,6778,9999,6778-9999,"['18', '34']",['38'],"['1', '14', '29', '17']",2.0,1.0,3.0,100.0,,,,Step 2: Best Match,🎯 Perfect Match (1/1),,✅ Complete (2/2),59.0,100.0,2/2,100.0,2.0,2.0,2/2,99.5,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2371,6780-10000,100.0,99.7,1,100.0,1,1,1,1,1,8,0,7,100.0%,12.5%,✅ Equal,9,2,7
63_Recombination events.csv|2359,2359,63_Recombination events.csv,9279,10000,"['11', '12', '13', '14', '15', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '30', '32', '33', '34', '35', '37', '39', '41', '42', '47', '49', '50', '8']",1000,2.5e-05,0.005,0.1,5000,50,2,9274,9993,9274-9993,"['25', '11', '19', '35', '30', '20', '13', '18', '8', '24', '26', '33', '14', '21', '34', '41', '17']","['4', '40', '31', '45', '7', '44', '5', '16', '10', '36', '28']","['6', '29', '3', '47', '38', '48']",5.0,7.0,12.0,99.0,,,,Step 2: Best Match,✅ Complete Match (1/1),,✅ Complete (17/17),58.8,58.6,17/17,100.0,29.0,17.0,17/17,91.7,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,2359,9279-10000,76.47058823529412,98.8,2,100.0,1,2,1,1,2,12,1,11,50.0%,8.3%,✅ Equal,14,2,12
6_Recombination events.csv|2432,2432,6_Recombination events.csv,5742,8706,['32'],1000,2.5e-05,0.005,0.1,5000,50,2,5740,8696,5740-8696,['32'],['18'],"['19', '38', '27']",2.0,10.0,12.0,99.7,,,,Step 2: Best Match,⭐ Excellent Match (1/1),,🎯 Perfect (1/1),58.94,100.0,1/1,100.0,1.0,1.0,1/1,98.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2432,5742-8706,100.0,98.8,2,100.0,1,3,2,2,2,8,0,6,100.0%,25.0%,✅ Equal,10,4,6
59_Recombination events.csv|2564,2564,59_Recombination events.csv,6093,10000,"['21', '26', '31', '37', '39', '4', '43', '46']",1000,2.5e-05,0.005,0.1,5000,50,1,6110,9950,6110-9950,"['4', '31', '46', '26', '37', '21', '39', '43']","['10', '19']","['25', '42', '45', '30', '20', '7', '8', '18', '32', '3', '14', '50', '49', '16', '36', '22']",17.0,50.0,67.0,98.3,,,,Step 2: Best Match,✅ Complete Match (1/1),,✅ Complete (8/8),56.66,100.0,8/8,100.0,8.0,8.0,8/8,91.4,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,2564,6093-10000,50.0,93.3,1,100.0,1,4,1,1,2,7,1,6,50.0%,14.3%,✅ Equal,9,2,7
58_Recombination events.csv|2493,2493,58_Recombination events.csv,957,10000,['46'],1000,2.5e-05,0.005,0.1,5000,50,1,960,9974,960-9974,['46'],"['20', '27', '1', '9', '22']","['30', '41']",3.0,26.0,29.0,99.7,,,,Step 2: Best Match,✅ Complete Match (1/1),,🎯 Perfect (1/1),56.94,100.0,1/1,100.0,1.0,1.0,1/1,84.8,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,2493,957-10000,100.0,97.1,1,100.0,1,5,1,1,1,4,0,3,100.0%,25.0%,✅ Equal,5,2,3
56_Recombination events.csv|2503,2503,56_Recombination events.csv,2844,10000,['47'],1000,2.5e-05,0.005,0.1,5000,50,1,2856,9990,2856-9990,['47'],"['42', '7', '12']",['41'],12.0,10.0,22.0,99.7,,,,Step 2: Best Match,⭐ Excellent Match (1/1),,🎯 Perfect (1/1),56.94,100.0,1/1,100.0,1.0,1.0,1/1,96.1,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,2503,2844-10000,100.0,97.8,1,100.0,1,6,1,1,1,5,0,4,100.0%,20.0%,✅ Equal,6,2,4
54_Recombination events.csv|2481,2481,54_Recombination events.csv,6387,7773,['46'],1000,2.5e-05,0.005,0.1,5000,50,1,6314,7776,6314-7776,['46'],"['41', '40', '33']",['6'],73.0,3.0,76.0,100.0,1386.0,346.5,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,2481,6387-7773,100.0,92.4,1,100.0,1,7,1,1,1,5,0,4,100.0%,20.0%,✅ Equal,6,2,4
51_Recombination events.csv|2571,2571,51_Recombination events.csv,6183,6669,['2'],1000,2.5e-05,0.005,0.1,5000,50,2,6174,6679,6174-6679,['2'],"['9', '7']",['19'],9.0,10.0,19.0,100.0,486.0,121.5,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,2571,6183-6669,100.0,98.1,2,100.0,1,8,4,4,4,8,0,4,100.0%,50.0%,✅ Equal,12,8,4
5_Recombination events.csv|2513,2513,5_Recombination events.csv,3693,7239,"['13', '43']",1000,2.5e-05,0.005,0.1,5000,50,1,3697,7240,3697-7240,"['13', '43']",['48'],['27'],4.0,1.0,5.0,99.9,,,,Step 2: Best Match,🎯 Perfect Match (1/1),,✅ Complete (2/2),58.980000000000004,100.0,2/2,100.0,2.0,2.0,2/2,99.3,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2513,3693-7239,100.0,99.5,1,100.0,1,9,4,4,4,10,0,6,100.0%,40.0%,✅ Equal,14,8,6
48_Recombination events.csv|2461,2461,48_Recombination events.csv,2181,5619,['15'],1000,2.5e-05,0.005,0.1,5000,50,1,2174,5674,2174-5674,['15'],"['4', '31', '45', '2', '1']",['6'],7.0,55.0,62.0,100.0,3438.0,859.5,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,2461,2181-5619,100.0,93.8,1,100.0,1,10,1,1,1,5,0,4,100.0%,20.0%,✅ Equal,6,2,4
