SantaID,Santa_Event,Santa_Tag,Santa_INI,Santa_END,Santa_Recombinant,santa_popSize,santa_mutationRate,santa_recombProb,santa_dualInfectProb,santa_genCount,santa_sampleSize,RDP_Event_ID,RDP_INI,RDP_END,RDP_Breakpoints,RDP_Recombinant,RDP_Minor,RDP_Major,INI_Difference,END_Difference,Total_Difference,Overlap_Percentage,Fragment_Size,Dynamic_Tolerance,Tolerance_Percent,Source_Tab,Match_Type,Validation,Recombinant_Match_Quality,Quality_Score,Jaccard_Similarity,Sequence_Ratio,Sequence_Coverage,Santa_Recombinant_Count,RDP_Recombinant_Count,Covered_Sequences,Breakpoint_Score,Overlap_Score,Santa_Breakpoint,Santa_Size,Santa_Seqs_Count,Santa_Recombinant_Full,Santa_Recombinant_List,Chain_Score,Start_Score,End_Score,Continuity_Score,Recombinant_Score,Seq_Ratio,Seq_Ratio_%,Reaches_Santa_End,Reaches_End,Reaches_Start,RDP_Recombinant_Full,RDP_Recombinant_List,RDP_Tags,Chain_Length,Chain_INI,Chain_END,Start_Distance,End_Distance,Total_Gap,Chain_Logic_Valid,Logic_Validation_Msg,All_Collected_Recombinants,All_Collected_Recombinants_Count,Recombinants_List,Coverage_Percentage,Start_Gap,End_Gap,_Total_Distance,RDP_Match_Types,Tag,Santa_ID,Santa_Breakpoints,Recombinant_Match_Score,Start_End_Diff_Score,RDP_Set,Tag_Specific_Quality_Score,Tag_Rank,Global_Rank,Tag_RDP_Count,Tag_Santa_Count,Tag_Original_RDP_Count,Tag_Original_Santa_Count,Tag_Remaining_RDP,Tag_Remaining_Santa,Tag_RDP_Match_Rate,Tag_Santa_Match_Rate,RDP_Santa_Equal,Tag_Total_Original,Tag_Total_Matched,Tag_Total_Remaining
1_Recombination events.csv|4889,4889,1_Recombination events.csv,4053,5262,['23'],1000,0.0001,0.01,0.1,5000,50,6,4054,5262,4054-5262,['23'],['50'],"['15', '48', '25']",1.0,0.0,1.0,99.9172870140612,1209.0,302.2,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,58.98345740281224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4889,4053-5262,100.0,99.9,6,100.0,1,1,6,6,14,20,8,14,42.9%,30.0%,✅ Equal,34,12,22
25_Recombination events.csv|4848,4848,25_Recombination events.csv,8247,10000,['28'],1000,0.0001,0.01,0.1,5000,50,1,8249,9998,8249-9998,['28'],['48'],"['43', '16']",2.0,2.0,4.0,99.8,,,,Step 2: Best Match,⭐ Excellent Match (1/1),,🎯 Perfect (1/1),58.96,100.0,1/1,100.0,1.0,1.0,1/1,98.9,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,4848,8247-10000,100.0,99.6,1,100.0,1,2,6,6,8,20,2,14,75.0%,30.0%,✅ Equal,28,12,16
31_Recombination events.csv|4931,4931,31_Recombination events.csv,8445,10000,['50'],1000,0.0001,0.01,0.1,5000,50,1,8446,9993,8446-9993,['50'],['15'],['12'],1.0,7.0,8.0,99.5,,,,Step 2: Best Match,⭐ Excellent Match (1/1),,🎯 Perfect (1/1),58.900000000000006,100.0,1/1,100.0,1.0,1.0,1/1,97.4,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,4931,8445-10000,100.0,99.2,1,100.0,1,3,5,5,5,29,0,24,100.0%,17.2%,✅ Equal,34,10,24
64_Recombination events.csv|4736,4736,64_Recombination events.csv,8976,9954,"['20', '34', '36', '38', '4', '47']",1000,0.0001,0.01,0.1,5000,50,1,9342,9965,9342-9965,"['20', '47', '4', '36', '38', '34']","['7', '48', '50', '40', '8', '2', '11', '24']","['42', '17', '25', '22', '1', '12', '44', '27', '26', '46', '13', '31', '49', '28', '23', '43', '3', '10', '33', '14', '21', '45', '18', '15', '29', '6', '35', '39', '32', '9', '41', '37', '5', '16', '30', '19']",366.0,11.0,377.0,62.57668711656442,978.0,244.5,25.0,Step 1: Approximate,Case_A_End_End,Exact Recombinant Match,,37.515337423312886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,4736,8976-9954,66.66666666666666,62.3,1,100.0,1,4,1,1,3,18,2,17,33.3%,5.6%,✅ Equal,21,2,19
30_Recombination events.csv|4904,4904,30_Recombination events.csv,4983,9621,"['38', '40']",1000,0.0001,0.01,0.1,5000,50,2,4984,9620,4984-9620,"['38', '40']","['39', '24', '9', '25', '41', '3', '33', '14', '4', '21', '45', '44', '15', '6', '27']","['48', '50', '34', '37', '5', '28', '18', '1', '19', '29']",1.0,1.0,2.0,100.0,,,,Step 2: Best Match,🎯 Perfect Match (1/1),,✅ Complete (2/2),59.0,100.0,2/2,100.0,2.0,2.0,2/2,99.8,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,4904,4983-9621,100.0,99.8,2,100.0,1,5,4,4,4,16,0,12,100.0%,25.0%,✅ Equal,20,8,12
65_Recombination events.csv|4998,4998,65_Recombination events.csv,909,10000,"['20', '5']",1000,0.0001,0.01,0.1,5000,50,1,907,9997,907-9997,"['20', '5']","['32', '27', '30']",['4'],2.0,3.0,5.0,100.0,,,,Step 2: Best Match,⭐ Excellent Match (1/1),,✅ Complete (2/2),59.0,100.0,2/2,100.0,2.0,2.0,2/2,97.2,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,4998,909-10000,100.0,99.5,1,100.0,1,6,3,3,4,10,1,7,75.0%,30.0%,✅ Equal,14,6,8
66_Recombination events.csv|4804,4804,66_Recombination events.csv,6045,10000,"['4', '47']",1000,0.0001,0.01,0.1,5000,50,1,6042,9994,6042-9994,"['4', '47']",['26'],"['3', '33', '32', '25']",3.0,6.0,9.0,99.84829329962074,3955.0,988.8,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,58.96965865992415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,4804,6045-10000,100.0,99.1,1,100.0,1,7,2,2,3,9,1,7,66.7%,22.2%,✅ Equal,12,4,8
29_Recombination events.csv|4879,4879,29_Recombination events.csv,7638,9558,"['18', '35', '48']",1000,0.0001,0.01,0.1,5000,50,1,7639,9558,7639-9558,"['18', '35', '48']","['50', '20']","['4', '13']",1.0,0.0,1.0,99.94791666666667,1920.0,480.0,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,58.989583333333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,4879,7638-9558,100.0,99.9,1,100.0,1,8,3,3,3,19,0,16,100.0%,15.8%,✅ Equal,22,6,16
70_Recombination events.csv|4892,4892,70_Recombination events.csv,6213,8262,"['23', '24', '32', '45', '9']",1000,0.0001,0.01,0.1,5000,50,2,6212,8260,6212-8260,"['24', '32', '9', '45', '23']","['7', '26', '39', '34', '47', '30', '18', '28', '44', '15', '29', '27']","['21', '48', '25', '14']",1.0,2.0,3.0,99.9,,,,Step 2: Best Match,🎯 Perfect Match (1/1),,✅ Complete (5/5),58.980000000000004,100.0,5/5,100.0,5.0,5.0,5/5,99.3,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,4892,6213-8262,40.0,99.7,2,100.0,1,9,4,4,4,14,0,10,100.0%,28.6%,✅ Equal,18,8,10
71_Recombination events.csv|5142,5142,71_Recombination events.csv,7827,10000,['41'],1000,0.0001,0.01,0.1,5000,50,1,7826,9997,7826-9997,['41'],['12'],['21'],1.0,3.0,4.0,99.9,,,,Step 2: Best Match,🎯 Perfect Match (1/1),,🎯 Perfect (1/1),58.980000000000004,100.0,1/1,100.0,1.0,1.0,1/1,99.1,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,5142,7827-10000,100.0,99.6,1,100.0,1,10,5,5,5,13,0,8,100.0%,38.5%,✅ Equal,18,10,8
