SantaID,Santa_Event,Santa_Tag,Santa_INI,Santa_END,Santa_Recombinant,santa_popSize,santa_mutationRate,santa_recombProb,santa_dualInfectProb,santa_genCount,santa_sampleSize,RDP_Event_ID,RDP_INI,RDP_END,RDP_Breakpoints,RDP_Recombinant,RDP_Minor,RDP_Major,INI_Difference,END_Difference,Total_Difference,Overlap_Percentage,Fragment_Size,Dynamic_Tolerance,Tolerance_Percent,Source_Tab,Match_Type,Validation,Recombinant_Match_Quality,Quality_Score,Jaccard_Similarity,Sequence_Ratio,Sequence_Coverage,Santa_Recombinant_Count,RDP_Recombinant_Count,Covered_Sequences,Breakpoint_Score,Overlap_Score,Santa_Breakpoint,Santa_Size,Santa_Seqs_Count,Santa_Recombinant_Full,Santa_Recombinant_List,Chain_Score,Start_Score,End_Score,Continuity_Score,Recombinant_Score,Seq_Ratio,Seq_Ratio_%,Reaches_Santa_End,Reaches_End,Reaches_Start,RDP_Recombinant_Full,RDP_Recombinant_List,RDP_Tags,Chain_Length,Chain_INI,Chain_END,Start_Distance,End_Distance,Total_Gap,Chain_Logic_Valid,Logic_Validation_Msg,All_Collected_Recombinants,All_Collected_Recombinants_Count,Recombinants_List,Coverage_Percentage,Start_Gap,End_Gap,_Total_Distance,RDP_Match_Types,Tag,Santa_ID,Santa_Breakpoints,Recombinant_Match_Score,Start_End_Diff_Score,RDP_Set,Tag_Specific_Quality_Score,Tag_Rank,Global_Rank,Tag_RDP_Count,Tag_Santa_Count,Tag_Original_RDP_Count,Tag_Original_Santa_Count,Tag_Remaining_RDP,Tag_Remaining_Santa,Tag_RDP_Match_Rate,Tag_Santa_Match_Rate,RDP_Santa_Equal,Tag_Total_Original,Tag_Total_Matched,Tag_Total_Remaining
1_Recombination events.csv|2380,2380,1_Recombination events.csv,4785,8451,"['16', '5']",1000,0.0002,0.005,0.1,5000,50,1,4784,8450,4784-8450,"['16', '5']","['32', '17']",['15'],1.0,1.0,2.0,100.0,,,,Step 2: Best Match,🎯 Perfect Match (1/1),,✅ Complete (2/2),59.0,100.0,2/2,100.0,2.0,2.0,2/2,99.7,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2380,4785-8451,100.0,99.8,1,100.0,1,1,3,3,3,8,0,5,100.0%,37.5%,✅ Equal,11,6,5
9_Recombination events.csv|2435,2435,9_Recombination events.csv,1854,10000,"['2', '33', '40', '43', '49', '8']",1000,0.0002,0.005,0.1,5000,50,1,1856,9997,1856-9997,"['2', '33', '49', '8', '40', '43']","['39', '18']","['22', '26', '38', '50', '37', '14', '31', '17', '23']",2.0,3.0,5.0,99.9,,,,Step 2: Best Match,⭐ Excellent Match (1/1),,✅ Complete (6/6),58.980000000000004,100.0,6/6,100.0,6.0,6.0,6/6,98.7,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2435,1854-10000,66.66666666666666,99.5,1,100.0,1,2,2,2,2,10,0,8,100.0%,20.0%,✅ Equal,12,4,8
70_Recombination events.csv|2516,2516,70_Recombination events.csv,2913,10000,"['18', '25', '30']",1000,0.0002,0.005,0.1,5000,50,1,2916,9995,2916-9995,"['30', '25', '18']","['20', '13']","['1', '26']",3.0,5.0,8.0,99.9,,,,Step 2: Best Match,⭐ Excellent Match (1/1),,✅ Complete (3/3),58.980000000000004,100.0,3/3,100.0,3.0,3.0,3/3,98.6,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,2516,2913-10000,33.33333333333333,99.2,1,100.0,1,3,1,1,1,4,0,3,100.0%,25.0%,✅ Equal,5,2,3
4_Recombination events.csv|2387,2387,4_Recombination events.csv,7593,8067,['32'],1000,0.0002,0.005,0.1,5000,50,6,7593,8068,7593-8068,['32'],['3'],"['19', '44', '30', '48', '29', '49', '35', '11', '14', '21', '26', '8', '16', '13', '34', '10', '2', '28', '50', '36', '47', '7', '42', '39', '46', '1']",0.0,1.0,1.0,100.0,474.0,118.5,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2387,7593-8067,100.0,99.9,6,100.0,1,4,7,7,7,12,0,5,100.0%,58.3%,✅ Equal,19,14,5
72_Recombination events.csv|2611,2611,72_Recombination events.csv,2313,5424,['33'],1000,0.0002,0.005,0.1,5000,50,1,2313,5426,2313-5426,['33'],"['6', '40', '16']","['10', '43', '50']",0.0,2.0,2.0,100.0,3111.0,777.8,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,2611,2313-5424,100.0,99.8,1,100.0,1,5,4,4,10,15,6,11,40.0%,26.7%,✅ Equal,25,8,17
74_Recombination events.csv|2486,2486,74_Recombination events.csv,7623,9471,['31'],1000,0.0002,0.005,0.1,5000,50,1,7624,9472,7624-9472,['31'],"['29', '2', '18', '4', '27', '36', '20', '9', '16', '5', '17']","['46', '45']",1.0,1.0,2.0,99.94588744588745,1848.0,462.0,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,58.98917748917749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,2486,7623-9471,100.0,99.8,1,100.0,1,6,2,2,4,9,2,7,50.0%,22.2%,✅ Equal,13,4,9
37_Recombination events.csv|2456,2456,37_Recombination events.csv,1218,9573,['42'],1000,0.0002,0.005,0.1,5000,50,2,1218,9574,1218-9574,['42'],['36'],"['18', '26', '21', '49', '48', '9']",0.0,1.0,1.0,100.0,1645.0,411.2,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,2456,1218-9573,100.0,99.9,2,100.0,1,7,5,5,5,10,0,5,100.0%,50.0%,✅ Equal,15,10,5
36_Recombination events.csv|2334,2334,36_Recombination events.csv,5865,10000,"['11', '12', '13', '44', '5']",1000,0.0002,0.005,0.1,5000,50,1,5876,9998,5876-9998,"['12', '44', '11', '13', '5']","['2', '33', '8', '7', '40', '9', '24']","['35', '48', '42', '16', '50']",11.0,2.0,13.0,99.7,,,,Step 2: Best Match,⭐ Excellent Match (1/1),,✅ Complete (5/5),56.94,100.0,5/5,100.0,5.0,5.0,5/5,98.4,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,2334,5865-10000,60.0,98.7,1,100.0,1,8,1,1,1,4,0,3,100.0%,25.0%,✅ Equal,5,2,3
76_Recombination events.csv|2498,2498,76_Recombination events.csv,2028,9516,['32'],1000,0.0002,0.005,0.1,5000,50,1,2029,9518,2029-9518,['32'],"['33', '18']",['14'],1.0,2.0,3.0,100.0,,,,Step 2: Best Match,🎯 Perfect Match (1/1),,🎯 Perfect (1/1),59.0,100.0,1/1,100.0,1.0,1.0,1/1,99.4,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,2498,2028-9516,100.0,99.7,1,100.0,1,9,7,4,9,11,2,7,77.8%,36.4%,❌ Diff: RDP=7 vs Santa=4,20,11,9
77_Recombination events.csv|2240,2240,77_Recombination events.csv,9798,10000,['48'],1000,0.0002,0.005,0.1,5000,50,2,9798,9997,9798-9997,['48'],"['28', '8', '19']","['10', '38', '47', '49', '30', '40', '43', '13', '9', '25', '42', '3', '46', '5', '24', '39', '50']",0.0,3.0,3.0,98.51485148514851,202.0,50.5,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,58.70297029702971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,2240,9798-10000,100.0,99.7,2,100.0,1,10,2,2,2,4,0,2,100.0%,50.0%,✅ Equal,6,4,2
