,Unnamed: 0,Global_Rank,Tag_Rank,Tag_Specific_Quality_Score,Tag,Santa_ID,RDP_Event_ID,Match_Type,Source_Tab,Tag_RDP_Count,Tag_Santa_Count,Tag_Original_RDP_Count,Tag_Original_Santa_Count,Tag_Remaining_RDP,Tag_Remaining_Santa,Tag_RDP_Match_Rate,Tag_Santa_Match_Rate,RDP_Santa_Equal,Tag_Total_Original,Tag_Total_Matched,Tag_Total_Remaining,SantaID,Santa_Event,Santa_Tag,Santa_INI,Santa_END,Santa_Recombinant,santa_popSize,santa_mutationRate,santa_recombProb,santa_dualInfectProb,santa_genCount,santa_sampleSize,RDP_INI,RDP_END,RDP_Breakpoints,RDP_Recombinant,RDP_Minor,RDP_Major,INI_Difference,END_Difference,Total_Difference,Overlap_Percentage,Fragment_Size,Dynamic_Tolerance,Tolerance_Percent,Validation,Recombinant_Match_Quality,Quality_Score,Jaccard_Similarity,Sequence_Ratio,Sequence_Coverage,Santa_Recombinant_Count,RDP_Recombinant_Count,Covered_Sequences,Breakpoint_Score,Overlap_Score,Santa_Breakpoint,Santa_Size,Santa_Seqs_Count,Tolerance,Max_End_Distance,Chain_Score,Start_Score,End_Score,Continuity_Score,Recombinant_Score,Seq_Ratio,Seq_Ratio_%,Reaches_Santa_End,RDP_Tags,Chain_Length,Chain_INI,Chain_END,Start_Distance,End_Distance,Total_Gap,Chain_Logic_Valid,Logic_Validation_Msg,Quality_Check,Reaches_Start,Reaches_End,Coverage_Percentage,Valid,Minor/Major,Start_Anchor,End_Anchor,Full_Coverage,Pre_Start_RDPs,RDP_Num,Santa_Breakpoints,Display_Coverage,Display_Seq_Ratio,Structural_Score,Coverage_Score,tag,Parent_Child_Type,Matched_Value,Breakpoint_Matches,Num_Breakpoint_Matches,Avg_Distance,Total_Distance,Start_Dist,End_Dist,Recombinant_Match_Score,Start_End_Diff_Score,Chain_Bonus,Step_Priority,Match_Type_Priority,Reaches_Priority,RDP_Set,Reaches_Status
0,0,1,1,100,1,10185,3,Standard_Match,Step 1: Approximate,7,7,8,69,1,62,87.5%,10.1%,✅ Equal,77,14,63,1_Recombination events.csv|10185,10185,1_Recombination events.csv,2709,7170,['40'],1000,0.000025,0.02,0.1,5000,50,2713,7166,2713-7166,['40'],"['23', '33']",['34'],4,4,8,99.82066801165658,4461,1115.2,25,Exact Recombinant Match,,58.96413360233132,,,,,,,90,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,3,2709-7170,99.8%,100.0%,0,99.82066801165658,,,,,,,,,,100,99.2,0,1,7,0,3,❌ None
1,1,2,1,100,12,9874,1,Standard_Match,Step 1: Approximate,6,6,6,37,0,31,100.0%,16.2%,✅ Equal,43,12,31,12_Recombination events.csv|9874,9874,12_Recombination events.csv,8400,10000,"['1', '13']",1000,0.000025,0.02,0.1,5000,50,8404,9998,8404-9998,"['1', '13']","['45', '44', '28', '49']","['30', '27', '37', '23', '14']",4,2,6,99.625,1600,400,25,Exact Recombinant Match,,58.925,,,,,,,90,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,8400-10000,99.6%,100.0%,0,99.625,,,,,,,,,,100,99.4,0,1,7,0,1,❌ None
2,2,3,1,100,11,10085,5,Standard_Match,Step 1: Approximate,7,6,7,48,0,42,100.0%,12.5%,❌ Diff: RDP=7 vs Santa=6,55,13,42,11_Recombination events.csv|10085,10085,11_Recombination events.csv,2532,10000,['38'],1000,0.000025,0.02,0.1,5000,50,2530,9949,2530-9949,['38'],['17'],"['42', '39', '35', '13']",2,51,53,99.31708623460096,2532,633,25,Exact Recombinant Match,,56.86341724692019,,,,,,,70,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,5,2532-10000,99.3%,100.0%,0,99.31708623460096,,,,,,,,,,100,94.7,0,1,7,0,5,❌ None
3,3,4,1,100,10,10034,1,Standard_Match,Step 1: Approximate,4,4,9,36,5,32,44.4%,11.1%,✅ Equal,45,8,37,10_Recombination events.csv|10034,10034,10_Recombination events.csv,5451,10000,['16'],1000,0.000025,0.02,0.1,5000,50,5453,9934,5453-9934,['16'],"['41', '13', '11']","['49', '43', '31', '27', '1', '46', '4']",2,66,68,98.50516597054298,4549,1137.2,25,Exact Recombinant Match,,56.7010331941086,,,,,,,70,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,5451-10000,98.5%,100.0%,0,98.50516597054298,,,,,,,,,,100,93.2,0,1,7,0,1,❌ None
4,4,5,1,100,24,9524,6,Standard_Match,Step 1: Approximate,7,7,9,60,2,53,77.8%,11.7%,✅ Equal,69,14,55,24_Recombination events.csv|9524,9524,24_Recombination events.csv,7164,10000,['32'],1000,0.000025,0.02,0.1,5000,50,7166,9989,7166-9989,['32'],"['35', '36']","['39', '8', '24', '11', '6', '27', '31', '3', '37', '9', '17', '23', '46', '5', '4']",2,11,13,99.54160789844852,2836,709,25,Exact Recombinant Match,,56.908321579689705,,,,,,,70,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,6,7164-10000,99.5%,100.0%,0,99.54160789844852,,,,,,,,,,100,98.7,0,1,7,0,6,❌ None
5,5,6,1,100,9,10008,3,⭐ Excellent Match (1/1),Step 2: Best Match,5,5,5,52,0,47,100.0%,9.6%,✅ Equal,57,10,47,9_Recombination events.csv|10008,10008,9_Recombination events.csv,528,8556,['45'],1000,0.000025,0.02,0.1,5000,50,526,8545,526-8545,['45'],['37'],"['40', '2']",2,11,13,99.9,,,,,🎯 Perfect (1/1),56.98,100,1/1,100,1,1,1/1,70,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,3,528-8556,99.9%,100.0%,0,99.9,,,,,,,,,,100,98.7,0,1,2,0,3,❌ None
6,6,7,1,100,6,9952,1,⭐ Excellent Match (1/1),Step 2: Best Match,9,9,9,39,0,30,100.0%,23.1%,✅ Equal,48,18,30,6_Recombination events.csv|9952,9952,6_Recombination events.csv,3714,10000,['13'],1000,0.000025,0.02,0.1,5000,50,3715,9982,3715-9982,['13'],['23'],"['5', '16', '49']",1,18,19,99.7,,,,,🎯 Perfect (1/1),56.94,100,1/1,100,1,1,1/1,70,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,3714-10000,99.7%,100.0%,0,99.7,,,,,,,,,,100,98.1,0,1,2,0,1,❌ None
7,7,8,1,100,21,9935,4,Standard_Match,Step 1: Approximate,8,7,8,47,0,40,100.0%,14.9%,❌ Diff: RDP=8 vs Santa=7,55,15,40,21_Recombination events.csv|9935,9935,21_Recombination events.csv,4791,5070,['41'],1000,0.000025,0.02,0.1,5000,50,4792,5070,4792-5070,['41'],['15'],"['38', '42']",1,0,1,99.6415770609319,279,69.8,25,Exact Recombinant Match,,58.92831541218638,,,,,,,90,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,4,4791-5070,99.6%,100.0%,0,99.6415770609319,,,,,,,,,,100,99.9,0,1,7,0,4,❌ None
8,8,9,1,100,19,9930,4,Standard_Match,Step 1: Approximate,7,7,7,39,0,32,100.0%,17.9%,✅ Equal,46,14,32,19_Recombination events.csv|9930,9930,19_Recombination events.csv,7701,8526,['26'],1000,0.000025,0.02,0.1,5000,50,7694,8532,7694-8532,['26'],['48'],"['38', '29']",7,6,13,100,825,206.2,25,Exact Recombinant Match,,59,,,,,,,90,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,4,7701-8526,100.0%,100.0%,0,100,,,,,,,,,,100,98.7,0,1,7,0,4,❌ None
9,9,10,1,100,16,10027,2,Standard_Match,Step 1: Approximate,4,4,5,42,1,38,80.0%,9.5%,✅ Equal,47,8,39,16_Recombination events.csv|10027,10027,16_Recombination events.csv,3042,10000,['26'],1000,0.000025,0.02,0.1,5000,50,3032,10000,3032-10000,['26'],"['34', '9', '24', '14']","['11', '7', '23']",10,0,10,100,3042,760.5,25,Exact Recombinant Match,,59,,,,,,,90,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,2,3042-10000,100.0%,100.0%,0,100,,,,,,,,,,100,99,0,1,7,0,2,❌ None
