,Global_Rank,Tag_Rank,Tag_Specific_Quality_Score,Tag,Santa_ID,RDP_Event_ID,Match_Type,Source_Tab,Tag_RDP_Count,Tag_Santa_Count,Tag_Original_RDP_Count,Tag_Original_Santa_Count,Tag_Remaining_RDP,Tag_Remaining_Santa,Tag_RDP_Match_Rate,Tag_Santa_Match_Rate,RDP_Santa_Equal,Tag_Total_Original,Tag_Total_Matched,Tag_Total_Remaining,SantaID,Santa_Event,Santa_Tag,Santa_INI,Santa_END,Santa_Recombinant,santa_popSize,santa_mutationRate,santa_recombProb,santa_dualInfectProb,santa_genCount,santa_sampleSize,RDP_INI,RDP_END,RDP_Breakpoints,RDP_Recombinant,RDP_Minor,RDP_Major,INI_Difference,END_Difference,Total_Difference,Overlap_Percentage,Fragment_Size,Dynamic_Tolerance,Tolerance_Percent,Validation,Recombinant_Match_Quality,Quality_Score,Jaccard_Similarity,Sequence_Ratio,Sequence_Coverage,Santa_Recombinant_Count,RDP_Recombinant_Count,Covered_Sequences,Breakpoint_Score,Overlap_Score,Santa_Breakpoint,Santa_Size,Santa_Seqs_Count,Tolerance,Max_End_Distance,Chain_Score,Start_Score,End_Score,Continuity_Score,Recombinant_Score,Seq_Ratio,Seq_Ratio_%,Reaches_Santa_End,RDP_Tags,Chain_Length,Chain_INI,Chain_END,Start_Distance,End_Distance,Total_Gap,Chain_Logic_Valid,Logic_Validation_Msg,Quality_Check,Coverage_Percentage,Valid,Minor/Major,Start_Anchor,End_Anchor,Full_Coverage,Pre_Start_RDPs,Reaches_Start,Reaches_End,RDP_Num,Santa_Breakpoints,Display_Coverage,Display_Seq_Ratio,Structural_Score,Coverage_Score,tag,Parent_Child_Type,Matched_Value,Breakpoint_Matches,Num_Breakpoint_Matches,Avg_Distance,Total_Distance,Start_Dist,End_Dist,Recombinant_Match_Score,Start_End_Diff_Score,Chain_Bonus,Step_Priority,Match_Type_Priority,Reaches_Priority,RDP_Set,Reaches_Status
0,1,1,100,1,4794,1,Standard_Match,Step 1: Approximate,2,2,2,8,0,6,100.0%,25.0%,✅ Equal,10,4,6,1_Recombination events.csv|4794,4794,1_Recombination events.csv,228,7725,"['14', '18']",1000,0.000025,0.01,0.1,5000,50,228,7728,228-7728,"['14', '18']","['33', '24', '26', '3', '7', '41', '34', '29', '38', '49', '48', '21', '27', '16', '11', '9', '44', '42']","['30', '40', '10', '35', '39', '1', '8', '43']",0,3,3,100,2503,625.8,25,Exact Recombinant Match,,59,,,,,,,90,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,228-7725,100.0%,100.0%,0,100,,,,,,,,,,100,99.7,0,1,7,0,1,❌ None
1,2,1,100,30,4842,1,Standard_Match,Step 1: Approximate,2,2,2,19,0,17,100.0%,10.5%,✅ Equal,21,4,17,30_Recombination events.csv|4842,4842,30_Recombination events.csv,354,1851,['33'],1000,0.000025,0.01,0.1,5000,50,356,1651,356-1651,['33'],"['44', '5']",['21'],2,200,202,86.5063460253841,1497,374.2,25,Exact Recombinant Match,,52.30126920507682,,,,,,,50,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,354-1851,86.5%,100.0%,0,86.5063460253841,,,,,,,,,,100,79.8,0,1,7,0,1,❌ None
2,3,1,100,36,4867,1,Standard_Match,Step 1: Approximate,4,4,4,25,0,21,100.0%,16.0%,✅ Equal,29,8,21,36_Recombination events.csv|4867,4867,36_Recombination events.csv,3651,7026,['17'],1000,0.000025,0.01,0.1,5000,50,3654,7020,3654-7020,['17'],"['36', '30', '40', '41', '10', '21', '8', '11', '22']","['27', '48']",3,6,9,99.73333333333333,3375,843.8,25,Exact Recombinant Match,,58.94666666666667,,,,,,,90,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,3651-7026,99.7%,100.0%,0,99.73333333333333,,,,,,,,,,100,99.1,0,1,7,0,1,❌ None
3,4,1,100,68,4954,1,Standard_Match,Step 1: Approximate,7,7,8,26,1,19,87.5%,26.9%,✅ Equal,34,14,20,68_Recombination events.csv|4954,4954,68_Recombination events.csv,4758,10000,"['10', '28']",1000,0.000025,0.01,0.1,5000,50,4746,9991,4746-9991,"['10', '28']",['18'],"['15', '31', '25', '40', '14', '6', '39', '46', '27', '47', '43']",12,9,21,99.82830980541777,4758,1189.5,25,Exact Recombinant Match,,56.965661961083555,,,,,,,70,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,4758-10000,99.8%,100.0%,0,99.82830980541777,,,,,,,,,,100,97.9,0,1,7,0,1,❌ None
4,5,1,100,7,4893,2,Standard_Match,Step 1: Approximate,6,5,6,15,0,10,100.0%,33.3%,❌ Diff: RDP=6 vs Santa=5,21,11,10,7_Recombination events.csv|4893,4893,7_Recombination events.csv,1779,10000,['6'],1000,0.000025,0.01,0.1,5000,50,1779,9984,1779-9984,['6'],"['31', '7', '46', '9', '22']","['5', '39', '36', '48', '23']",0,16,16,99.8053764748814,1779,444.8,25,Exact Recombinant Match,,56.96107529497628,,,,,,,70,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,2,1779-10000,99.8%,100.0%,0,99.8053764748814,,,,,,,,,,100,98.4,0,1,7,0,2,❌ None
5,6,1,100,35,4914,2,Standard_Match,Step 1: Approximate,6,5,7,17,1,12,85.7%,29.4%,❌ Diff: RDP=6 vs Santa=5,24,11,13,35_Recombination events.csv|4914,4914,35_Recombination events.csv,735,2298,['37'],1000,0.000025,0.01,0.1,5000,50,736,2298,736-2298,['37'],"['39', '1', '19']","['29', '27', '16', '45']",1,0,1,99.9360204734485,1563,390.8,25,Exact Recombinant Match,,58.9872040946897,,,,,,,90,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,2,735-2298,99.9%,100.0%,0,99.9360204734485,,,,,,,,,,100,99.9,0,1,7,0,2,❌ None
6,7,1,100,34,4526,1,Standard_Match,Step 1: Approximate,1,1,1,16,0,15,100.0%,6.2%,✅ Equal,17,2,15,34_Recombination events.csv|4526,4526,34_Recombination events.csv,2745,8409,"['20', '31', '34']",1000,0.000025,0.01,0.1,5000,50,2734,8406,2734-8406,"['20', '31', '34']","['26', '25', '3', '40', '2', '18', '13', '28', '45', '47', '16', '36']","['44', '15', '17', '30', '41', '14', '38', '19', '46', '5', '11', '23', '37']",11,3,14,99.94703389830508,4336,1084,25,Exact Recombinant Match,,56.98940677966102,,,,,,,70,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,2745-8409,99.9%,100.0%,0,99.94703389830508,,,,,,,,,,100,98.6,0,1,7,0,1,❌ None
7,8,1,100,33,4874,1,✅ Complete Match (1/1),Step 2: Best Match,2,2,4,18,2,16,50.0%,11.1%,✅ Equal,22,4,18,33_Recombination events.csv|4874,4874,33_Recombination events.csv,8157,10000,['30'],1000,0.000025,0.01,0.1,5000,50,8154,9976,8154-9976,['30'],['1'],['34'],3,24,27,98.7,,,,,🎯 Perfect (1/1),56.74,100,1/1,100,1,1,1/1,70,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,8157-10000,98.7%,100.0%,0,98.7,,,,,,,,,,100,97.3,0,1,3,0,1,❌ None
8,9,1,100,32,4936,1,Standard_Match,Step 1: Approximate,1,1,1,16,0,15,100.0%,6.2%,✅ Equal,17,2,15,32_Recombination events.csv|4936,4936,32_Recombination events.csv,8859,10000,['48'],1000,0.000025,0.01,0.1,5000,50,8846,9990,8846-9990,['48'],['43'],['25'],13,10,23,99.12357581069237,1141,285.2,25,Exact Recombinant Match,,56.824715162138475,,,,,,,70,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,8859-10000,99.1%,100.0%,0,99.12357581069237,,,,,,,,,,100,97.7,0,1,7,0,1,❌ None
9,10,1,100,71,5172,3,Standard_Match,Step 1: Approximate,5,5,6,18,1,13,83.3%,27.8%,✅ Equal,24,10,14,71_Recombination events.csv|5172,5172,71_Recombination events.csv,2262,3414,"['39', '49']",1000,0.000025,0.01,0.1,5000,50,2262,3414,2262-3414,"['39', '49']",['47'],"['33', '17', '3', '10', '19', '46', '20', '45', '28', '48']",0,0,0,100,1152,288,25,Exact Recombinant Match,,60,,,,,,,100,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,3,2262-3414,100.0%,100.0%,0,100,,,,,,,,,,100,100,0,1,7,0,3,❌ None
