,Global_Rank,Tag_Rank,Tag_Specific_Quality_Score,Tag,Santa_ID,RDP_Event_ID,Match_Type,Source_Tab,Tag_RDP_Count,Tag_Santa_Count,Tag_Original_RDP_Count,Tag_Original_Santa_Count,Tag_Remaining_RDP,Tag_Remaining_Santa,Tag_RDP_Match_Rate,Tag_Santa_Match_Rate,RDP_Santa_Equal,Tag_Total_Original,Tag_Total_Matched,Tag_Total_Remaining,SantaID,Santa_Event,Santa_Tag,Santa_INI,Santa_END,Santa_Recombinant,santa_popSize,santa_mutationRate,santa_recombProb,santa_dualInfectProb,santa_genCount,santa_sampleSize,RDP_INI,RDP_END,RDP_Breakpoints,RDP_Recombinant,RDP_Minor,RDP_Major,INI_Difference,END_Difference,Total_Difference,Overlap_Percentage,Fragment_Size,Dynamic_Tolerance,Tolerance_Percent,Validation,Recombinant_Match_Quality,Quality_Score,Jaccard_Similarity,Sequence_Ratio,Sequence_Coverage,Santa_Recombinant_Count,RDP_Recombinant_Count,Covered_Sequences,Breakpoint_Score,Overlap_Score,Santa_Breakpoint,Santa_Size,Santa_Seqs_Count,Tolerance,Max_End_Distance,Chain_Score,Start_Score,End_Score,Continuity_Score,Recombinant_Score,Seq_Ratio,Seq_Ratio_%,Reaches_Santa_End,RDP_Tags,Chain_Length,Chain_INI,Chain_END,Start_Distance,End_Distance,Total_Gap,Chain_Logic_Valid,Logic_Validation_Msg,Quality_Check,Coverage_Percentage,Valid,Minor/Major,Start_Anchor,End_Anchor,Full_Coverage,Pre_Start_RDPs,Reaches_Start,Reaches_End,RDP_Num,Santa_Breakpoints,Display_Coverage,Display_Seq_Ratio,Structural_Score,Coverage_Score,tag,Parent_Child_Type,Matched_Value,Breakpoint_Matches,Num_Breakpoint_Matches,Avg_Distance,Total_Distance,Start_Dist,End_Dist,Recombinant_Match_Score,Start_End_Diff_Score,Chain_Bonus,Step_Priority,Match_Type_Priority,Reaches_Priority,RDP_Set,Reaches_Status
0,1,1,100,10,2371,1,🎯 Perfect Match (1/1),Step 2: Best Match,1,1,1,8,0,7,100.0%,12.5%,✅ Equal,9,2,7,10_Recombination events.csv|2371,2371,10_Recombination events.csv,6780,10000,"['18', '34']",1000,0.000025,0.005,0.1,5000,50,6778,9999,6778-9999,"['18', '34']",['38'],"['1', '29', '14', '17']",2,1,3,100,,,,,✅ Complete (2/2),59,100,2/2,100,2,2,2/2,90,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,6780-10000,100.0%,100.0%,0,100,,,,,,,,,,100,99.7,0,1,1,0,1,❌ None
1,2,1,100,55,2261,1,✅ Complete Match (1/1),Step 2: Best Match,1,1,1,7,0,6,100.0%,14.3%,✅ Equal,8,2,6,55_Recombination events.csv|2261,2261,55_Recombination events.csv,1569,10000,"['12', '13', '14', '18', '21', '24', '25', '27', '31', '33', '34', '35', '36', '39', '40', '42', '43', '6']",1000,0.000025,0.005,0.1,5000,50,1574,9900,1574-9900,"['40', '21', '24', '25', '18', '6', '27', '31', '34', '35', '43', '36', '42', '33', '12', '13', '14', '39']","['1', '29', '28', '3', '8', '10', '15', '45']","['44', '11', '30', '2', '16', '48', '50', '17', '26', '19', '20', '32', '38', '49', '23', '47', '22', '37', '46', '4', '7', '5', '9', '41']",5,100,105,98.8,,,,,✅ Complete (18/18),56.760000000000005,100,18/18,100,18,18,18/18,70,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,1569-10000,98.8%,100.0%,0,98.8,,,,,,,,,,77.77777777777779,89.5,0,1,3,0,1,❌ None
2,3,1,100,64,2431,1,✅ Complete Match (1/1),Step 2: Best Match,1,1,1,9,0,8,100.0%,11.1%,✅ Equal,10,2,8,64_Recombination events.csv|2431,2431,64_Recombination events.csv,6090,10000,"['11', '13', '21', '22', '44', '8']",1000,0.000025,0.005,0.1,5000,50,6083,9946,6083-9946,"['44', '21', '8', '11', '22', '13']","['25', '35', '18', '49', '43', '23', '34', '2', '47', '17', '10', '45']","['27', '38', '26', '30', '14']",7,54,61,98.6,,,,,✅ Complete (6/6),56.72,100,6/6,100,6,6,6/6,70,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,6090-10000,98.6%,100.0%,0,98.6,,,,,,,,,,33.33333333333333,93.9,0,1,3,0,1,❌ None
3,4,1,100,62,2446,1,Standard_Match,Step 1: Approximate,2,2,2,5,0,3,100.0%,40.0%,✅ Equal,7,4,3,62_Recombination events.csv|2446,2446,62_Recombination events.csv,9057,10000,"['19', '25']",1000,0.000025,0.005,0.1,5000,50,9054,9990,9054-9990,"['19', '25']",['47'],"['16', '22', '45', '9']",3,10,13,98.93955461293743,943,235.8,25,Exact Recombinant Match,,58.787910922587486,,,,,,,90,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,9057-10000,98.9%,100.0%,0,98.93955461293743,,,,,,,,,,100,98.7,0,1,7,0,1,❌ None
4,5,1,100,60,2518,1,Standard_Match,Step 1: Approximate,4,4,4,7,0,3,100.0%,57.1%,✅ Equal,11,8,3,60_Recombination events.csv|2518,2518,60_Recombination events.csv,1461,10000,['33'],1000,0.000025,0.005,0.1,5000,50,1461,9994,1461-9994,['33'],"['50', '19']","['12', '27', '25']",0,6,6,99.92973416090877,1461,365.2,25,Exact Recombinant Match,,58.98594683218175,,,,,,,90,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,1461-10000,99.9%,100.0%,0,99.92973416090877,,,,,,,,,,100,99.4,0,1,7,0,1,❌ None
5,6,1,100,6,2432,2,⭐ Excellent Match (1/1),Step 2: Best Match,2,2,2,8,0,6,100.0%,25.0%,✅ Equal,10,4,6,6_Recombination events.csv|2432,2432,6_Recombination events.csv,5742,8706,['32'],1000,0.000025,0.005,0.1,5000,50,5740,8696,5740-8696,['32'],['18'],"['27', '19', '38']",2,10,12,99.7,,,,,🎯 Perfect (1/1),58.94,100,1/1,100,1,1,1/1,90,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,2,5742-8706,99.7%,100.0%,0,99.7,,,,,,,,,,100,98.8,0,1,2,0,2,❌ None
6,7,1,100,59,2564,1,✅ Complete Match (1/1),Step 2: Best Match,1,1,2,7,1,6,50.0%,14.3%,✅ Equal,9,2,7,59_Recombination events.csv|2564,2564,59_Recombination events.csv,6093,10000,"['21', '26', '31', '37', '39', '4', '43', '46']",1000,0.000025,0.005,0.1,5000,50,6110,9950,6110-9950,"['37', '31', '21', '46', '4', '43', '26', '39']","['10', '19']","['25', '32', '3', '49', '18', '7', '30', '36', '16', '50', '42', '8', '45', '22', '14', '20']",17,50,67,98.3,,,,,✅ Complete (8/8),56.66,100,8/8,100,8,8,8/8,70,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,6093-10000,98.3%,100.0%,0,98.3,,,,,,,,,,50,93.3,0,1,3,0,1,❌ None
7,8,1,100,58,2493,1,✅ Complete Match (1/1),Step 2: Best Match,1,1,1,4,0,3,100.0%,25.0%,✅ Equal,5,2,3,58_Recombination events.csv|2493,2493,58_Recombination events.csv,957,10000,['46'],1000,0.000025,0.005,0.1,5000,50,960,9974,960-9974,['46'],"['1', '27', '9', '22', '20']","['30', '41']",3,26,29,99.7,,,,,🎯 Perfect (1/1),56.94,100,1/1,100,1,1,1/1,70,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,957-10000,99.7%,100.0%,0,99.7,,,,,,,,,,100,97.1,0,1,3,0,1,❌ None
8,9,1,100,56,2503,1,⭐ Excellent Match (1/1),Step 2: Best Match,1,1,1,5,0,4,100.0%,20.0%,✅ Equal,6,2,4,56_Recombination events.csv|2503,2503,56_Recombination events.csv,2844,10000,['47'],1000,0.000025,0.005,0.1,5000,50,2856,9990,2856-9990,['47'],"['12', '42', '7']",['41'],12,10,22,99.7,,,,,🎯 Perfect (1/1),56.94,100,1/1,100,1,1,1/1,70,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,2844-10000,99.7%,100.0%,0,99.7,,,,,,,,,,100,97.8,0,1,2,0,1,❌ None
9,10,1,100,54,2481,1,Standard_Match,Step 1: Approximate,1,1,1,5,0,4,100.0%,20.0%,✅ Equal,6,2,4,54_Recombination events.csv|2481,2481,54_Recombination events.csv,6387,7773,['46'],1000,0.000025,0.005,0.1,5000,50,6314,7776,6314-7776,['46'],"['33', '40', '41']",['6'],73,3,76,100,1386,346.5,25,Exact Recombinant Match,,57,,,,,,,70,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,6387-7773,100.0%,100.0%,0,100,,,,,,,,,,100,92.4,0,1,7,0,1,❌ None
