,Unnamed: 0,Global_Rank,Tag_Rank,Tag_Specific_Quality_Score,Tag,Santa_ID,RDP_Event_ID,Match_Type,Source_Tab,Tag_RDP_Count,Tag_Santa_Count,Tag_Original_RDP_Count,Tag_Original_Santa_Count,Tag_Remaining_RDP,Tag_Remaining_Santa,Tag_RDP_Match_Rate,Tag_Santa_Match_Rate,RDP_Santa_Equal,Tag_Total_Original,Tag_Total_Matched,Tag_Total_Remaining,SantaID,Santa_Event,Santa_Tag,Santa_INI,Santa_END,Santa_Recombinant,santa_popSize,santa_mutationRate,santa_recombProb,santa_dualInfectProb,santa_genCount,santa_sampleSize,RDP_INI,RDP_END,RDP_Breakpoints,RDP_Recombinant,RDP_Minor,RDP_Major,INI_Difference,END_Difference,Total_Difference,Overlap_Percentage,Fragment_Size,Dynamic_Tolerance,Tolerance_Percent,Validation,Recombinant_Match_Quality,Quality_Score,Jaccard_Similarity,Sequence_Ratio,Sequence_Coverage,Santa_Recombinant_Count,RDP_Recombinant_Count,Covered_Sequences,Breakpoint_Score,Overlap_Score,Santa_Breakpoint,Santa_Size,Santa_Seqs_Count,Tolerance,Max_End_Distance,Chain_Score,Start_Score,End_Score,Continuity_Score,Recombinant_Score,Seq_Ratio,Seq_Ratio_%,Reaches_Santa_End,RDP_Tags,Chain_Length,Chain_INI,Chain_END,Start_Distance,End_Distance,Total_Gap,Chain_Logic_Valid,Logic_Validation_Msg,Quality_Check,Coverage_Percentage,Valid,Minor/Major,Start_Anchor,End_Anchor,Full_Coverage,Pre_Start_RDPs,Reaches_Start,Reaches_End,RDP_Num,Santa_Breakpoints,Display_Coverage,Display_Seq_Ratio,Structural_Score,Coverage_Score,tag,Parent_Child_Type,Matched_Value,Breakpoint_Matches,Num_Breakpoint_Matches,Avg_Distance,Total_Distance,Start_Dist,End_Dist,Recombinant_Match_Score,Start_End_Diff_Score,Chain_Bonus,Step_Priority,Match_Type_Priority,Reaches_Priority,RDP_Set,Reaches_Status
0,0,1,1,100,1,2380,1,🎯 Perfect Match (1/1),Step 2: Best Match,3,3,3,8,0,5,100.0%,37.5%,✅ Equal,11,6,5,1_Recombination events.csv|2380,2380,1_Recombination events.csv,4785,8451,"['16', '5']",1000,0.0002,0.005,0.1,5000,50,4784,8450,4784-8450,"['16', '5']","['32', '17']",['15'],1,1,2,100,,,,,✅ Complete (2/2),59,100,2/2,100,2,2,2/2,90,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,4785-8451,100.0%,100.0%,0,100,,,,,,,,,,100,99.8,0,1,1,0,1,❌ None
100,101,102,2,96.49298597194388,1,2369,2,Standard_Match,Step 1: Approximate,3,3,3,8,0,5,100.0%,37.5%,✅ Equal,11,6,5,1_Recombination events.csv|2369,2369,1_Recombination events.csv,4695,9909,"['29', '31']",1000,0.0002,0.005,0.1,5000,50,4756,9898,4756-9898,"['29', '31']","['13', '42']","['15', '16', '5']",61,11,72,98.61910241657075,4786,1196.5,25,Exact Recombinant Match,,56.72382048331416,,,,,,,70,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,2,4695-9909,98.6%,100.0%,0,98.61910241657075,,,,,,,,,,100,92.8,0,1,7,0,2,❌ None
165,166,167,3,61.03206412825651,1,1698,3,Standard_Match,Step 1: Approximate,3,3,3,8,0,5,100.0%,37.5%,✅ Equal,11,6,5,1_Recombination events.csv|1698,1698,1_Recombination events.csv,2049,9162,"['1', '10', '11', '12', '13', '14', '15', '16', '17', '18', '2', '20', '21', '22', '24', '27', '28', '29', '3', '31', '32', '33', '35', '36', '37', '4', '40', '41', '42', '43', '44', '45', '46', '47', '48', '5', '50', '6', '8', '9']",1000,0.0002,0.005,0.1,5000,50,2631,9064,2631-9064,"['4', '13', '24', '16', '31', '46', '41', '35', '28', '27', '33', '12', '42', '1', '15', '21', '32', '37', '6', '29', '2', '22', '36', '10', '14', '8', '43', '40', '44', '9', '50', '18', '47', '11', '45', '3', '20', '5', '48', '17']","['30', '25', '49', '39', '34', '26']","['23', '19', '7', '38']",582,98,680,90.4400393645438,2887,721.8,25,Exact Recombinant Match,,48.08800787290876,,,,,,,30,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,3,2049-9162,90.4%,90.0%,0,90.4400393645438,,,,,,,,,,90,32,0,1,7,0,3,❌ None
19,20,21,1,100,3,2460,1,🎯 Perfect Match (1/1),Step 2: Best Match,1,1,1,6,0,5,100.0%,16.7%,✅ Equal,7,2,5,3_Recombination events.csv|2460,2460,3_Recombination events.csv,4251,8481,"['13', '18', '25', '48']",1000,0.0002,0.005,0.1,5000,50,4250,8482,4250-8482,"['48', '13', '18', '25']","['33', '22', '26']","['2', '37', '45', '41', '21', '17', '6']",1,1,2,100,,,,,✅ Complete (4/4),59,100,4/4,100,4,4,4/4,90,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,4251-8481,100.0%,100.0%,0,100,,,,,,,,,,25,99.8,0,1,1,0,1,❌ None
58,59,60,1,99.8998998998999,4,2387,4,⭐ Excellent Match (1/1),Step 2: Best Match,5,5,8,12,3,7,62.5%,41.7%,✅ Equal,20,10,10,4_Recombination events.csv|2387,2387,4_Recombination events.csv,7593,8067,['32'],1000,0.0002,0.005,0.1,5000,50,7593,8064,7593-8064,['32'],['3'],"['13', '16', '46', '39', '35', '28', '42', '1', '19', '29', '30', '2', '49', '36', '10', '14', '8', '26', '44', '11', '7', '48']",0,3,3,99.4,,,,,🎯 Perfect (1/1),58.88,100,1/1,100,1,1,1/1,90,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,4,7593-8067,99.4%,100.0%,0,99.4,,,,,,,,,,100,99.7,0,1,2,0,4,❌ None
75,76,77,2,99.74974974974975,4,2477,2,Standard_Match,Step 1: Approximate,5,5,8,12,3,7,62.5%,41.7%,✅ Equal,20,10,10,4_Recombination events.csv|2477,2477,4_Recombination events.csv,9639,10000,"['40', '43', '45']",1000,0.0002,0.005,0.1,5000,50,9640,9995,9640-9995,"['40', '43', '45']","['13', '29', '30', '2', '47', '11', '49', '35', '34', '7', '26', '21', '50', '1']",['18'],1,5,6,98.33795013850416,361,90.2,25,Exact Recombinant Match,,58.66759002770083,,,,,,,90,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,2,9639-10000,98.3%,100.0%,0,98.33795013850416,,,,,,,,,,100,99.4,0,1,7,0,2,❌ None
110,111,112,3,90,4,2448,1,🎯 Perfect Match (1/1),Step 2: Best Match,5,5,8,12,3,7,62.5%,41.7%,✅ Equal,20,10,10,4_Recombination events.csv|2448,2448,4_Recombination events.csv,4914,10000,"['20', '24', '25', '27', '31', '33', '37', '38', '4', '6']",1000,0.0002,0.005,0.1,5000,50,4914,9999,4914-9999,"['4', '24', '25', '31', '20', '38', '37', '33', '27', '6']","['13', '29', '30', '2', '47', '11', '49', '35', '34', '7', '26', '21', '50', '1']","['22', '23', '41', '5', '15', '9', '12', '17']",0,1,1,100,,,,,✅ Complete (10/10),59,100,10/10,100,10,10,10/10,90,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,4914-10000,100.0%,100.0%,0,100,,,,,,,,,,80,99.9,0,1,1,0,1,❌ None
112,113,114,4,89.73973973973975,4,2511,8,Standard_Match,Step 1: Approximate,5,5,8,12,3,7,62.5%,41.7%,✅ Equal,20,10,10,4_Recombination events.csv|2511,2511,4_Recombination events.csv,1089,1911,['33'],1000,0.0002,0.005,0.1,5000,50,912,1940,912-1940,['33'],['25'],['1'],177,29,206,100,822,205.5,25,Exact Recombinant Match,,55,,,,,,,50,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,8,1089-1911,100.0%,100.0%,0,100,,,,,,,,,,100,79.4,0,1,7,0,8,❌ None
131,132,133,5,81.76813176813177,4,2454,6,⭐ Excellent Match (1/1),Step 2: Best Match,5,5,8,12,3,7,62.5%,41.7%,✅ Equal,20,10,10,4_Recombination events.csv|2454,2454,4_Recombination events.csv,9492,10000,"['10', '14', '16', '19', '28', '36', '39', '42', '44', '46', '8']",1000,0.0002,0.005,0.1,5000,50,9492,9998,9492-9998,"['16', '36', '10', '14', '8', '46', '39', '44', '28', '19', '42']",['3'],"['13', '29', '30', '2', '47', '11', '49', '35', '34', '7', '26', '48', '21', '50', '1']",0,2,2,99.6,,,,,✅ Complete (11/11),58.92,100,11/11,100,11,11,11/11,90,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,6,9492-10000,99.6%,100.0%,0,99.6,,,,,,,,,,63.63636363636363,99.8,0,1,2,0,6,❌ None
232,234,235,2,0,5,1470,"1, 2",Chain (2 RDPs),Step 7: Parent-Child Chain,2,2,2,8,0,6,100.0%,25.0%,✅ Equal,10,4,6,5_Recombination events.csv|1470,1470,5_Recombination events.csv,8121,10000,"['1', '26', '27', '28', '35', '36', '37']",1000,0.0002,0.005,0.1,5000,50,28,9998,28-3158 | 3244-9998,"['38'] | ['4', '13', '16', '31', '46', '39', '41', '33', '42', '12', '23', '21', '6', '30', '2', '22', '10', '14', '43', '44', '9', '50', '18', '47', '45', '20', '34', '5', '7', '48']","['11', '3', '49', '8', '40', '15', '19'] | ['24', '29', '25', '11', '49', '40', '19', '32', '17']","['36', '26', '35', '37', '28', '27', '1'] | ['36', '35', '26', '37', '28', '27', '1']",,,,,1879,469.8,25,,,5.5,,,,7,,,50,,,,,,,100,,,,,0,,,,2,,,,,,,,,,⚠️ Parent-Child Chain,✅ Chain-2,2,1,,,,,"1, 2",8121-10000,,,0,0,5_Recombination events.csv,Major_Exact_Match,2 RDPs,Chain-2,2,15,30,,,0,0,5,4,6,0,"2,1",❌ None
