Unnamed: 0,Global_Rank,Tag_Rank,Tag_Specific_Quality_Score,Tag,Santa_ID,RDP_Event_ID,Match_Type,Source_Tab,Tag_RDP_Count,Tag_Santa_Count,Tag_Original_RDP_Count,Tag_Original_Santa_Count,Tag_Remaining_RDP,Tag_Remaining_Santa,Tag_RDP_Match_Rate,Tag_Santa_Match_Rate,RDP_Santa_Equal,Tag_Total_Original,Tag_Total_Matched,Tag_Total_Remaining,SantaID,Santa_Event,Santa_Tag,Santa_INI,Santa_END,Santa_Recombinant,santa_popSize,santa_mutationRate,santa_recombProb,santa_dualInfectProb,santa_genCount,santa_sampleSize,RDP_INI,RDP_END,RDP_Breakpoints,RDP_Recombinant,RDP_Minor,RDP_Major,INI_Difference,END_Difference,Total_Difference,Overlap_Percentage,Fragment_Size,Dynamic_Tolerance,Tolerance_Percent,Validation,Recombinant_Match_Quality,Quality_Score,Jaccard_Similarity,Sequence_Ratio,Sequence_Coverage,Santa_Recombinant_Count,RDP_Recombinant_Count,Covered_Sequences,Breakpoint_Score,Overlap_Score,Santa_Breakpoint,Santa_Size,Santa_Seqs_Count,Tolerance,Max_End_Distance,Chain_Score,Start_Score,End_Score,Continuity_Score,Recombinant_Score,Seq_Ratio,Seq_Ratio_%,Reaches_Santa_End,RDP_Tags,Chain_Length,Chain_INI,Chain_END,Start_Distance,End_Distance,Total_Gap,Chain_Logic_Valid,Logic_Validation_Msg,Quality_Check,Coverage_Percentage,Valid,Minor/Major,Start_Anchor,End_Anchor,Full_Coverage,Pre_Start_RDPs,Reaches_Start,Reaches_End,RDP_Num,Santa_Breakpoints,Display_Coverage,Display_Seq_Ratio,Structural_Score,Coverage_Score,tag,Parent_Child_Type,Matched_Value,Breakpoint_Matches,Num_Breakpoint_Matches,Avg_Distance,Total_Distance,Start_Dist,End_Dist,Recombinant_Match_Score,Start_End_Diff_Score,Chain_Bonus,Step_Priority,Match_Type_Priority,Reaches_Priority,RDP_Set,Reaches_Status
0,1,1,100.0,1,9903,2,⭐ Excellent Match (1/1),Step 2: Best Match,8,7,10,39,2,32,80.0%,17.9%,❌ Diff: RDP=8 vs Santa=7,49,15,34,1_Recombination events.csv|9903,9903,1_Recombination events.csv,4968,5703,['46'],1000,0.0002,0.02,0.1,5000,50,4968,5700,4968-5700,['46'],['39'],"['21', '11']",0.0,3.0,3.0,99.6,,,,,🎯 Perfect (1/1),58.92,100.0,1/1,100.0,1.0,1.0,1/1,90,100.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,2,4968-5703,99.6%,100.0%,0,99.6,,,,,,,,,,100.0,99.7,0,1,2,0,2,❌ None
1,2,1,100.0,12,9894,6,Standard_Match,Step 1: Approximate,9,8,14,61,5,53,64.3%,13.1%,❌ Diff: RDP=9 vs Santa=8,75,17,58,12_Recombination events.csv|9894,9894,12_Recombination events.csv,165,9534,['46'],1000,0.0002,0.02,0.1,5000,50,165,9534,165-9534,['46'],"['31', '41', '20', '3']",['34'],0.0,0.0,0.0,100.0,631.0,157.8,25.0,Exact Recombinant Match,,60.0,,,,,,,100,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,6,165-9534,100.0%,100.0%,0,100.0,,,,,,,,,,100.0,100.0,0,1,7,0,6,❌ None
2,3,1,100.0,13,9757,3,🎯 Perfect Match (1/1),Step 2: Best Match,9,9,11,46,2,37,81.8%,19.6%,✅ Equal,57,18,39,13_Recombination events.csv|9757,9757,13_Recombination events.csv,2238,8286,['35'],1000,0.0002,0.02,0.1,5000,50,2239,8285,2239-8285,['35'],"['34', '29']","['7', '19', '9', '1']",1.0,1.0,2.0,100.0,,,,,🎯 Perfect (1/1),59.0,100.0,1/1,100.0,1.0,1.0,1/1,90,100.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,3,2238-8286,100.0%,100.0%,0,100.0,,,,,,,,,,100.0,99.8,0,1,1,0,3,❌ None
3,4,2,100.0,13,9696,8,Standard_Match,Step 1: Approximate,9,9,11,46,2,37,81.8%,19.6%,✅ Equal,57,18,39,13_Recombination events.csv|9696,9696,13_Recombination events.csv,9864,10000,['35'],1000,0.0002,0.02,0.1,5000,50,9866,10000,9866-10000,['35'],"['48', '36']","['9', '19', '7', '1']",2.0,0.0,2.0,98.52941176470588,136.0,34.0,25.0,Exact Recombinant Match,,58.70588235294117,,,,,,,90,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,8,9864-10000,98.5%,100.0%,0,98.52941176470588,,,,,,,,,,100.0,99.8,0,1,7,0,8,❌ None
4,5,1,100.0,10,9919,2,Standard_Match,Step 1: Approximate,10,10,20,54,10,44,50.0%,18.5%,✅ Equal,74,20,54,10_Recombination events.csv|9919,9919,10_Recombination events.csv,4734,10000,['48'],1000,0.0002,0.02,0.1,5000,50,4735,9998,4735-9998,['48'],"['41', '33']","['17', '8']",1.0,2.0,3.0,99.94303076338778,4734.0,1183.5,25.0,Exact Recombinant Match,,58.98860615267756,,,,,,,90,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,2,4734-10000,99.9%,100.0%,0,99.94303076338778,,,,,,,,,,100.0,99.7,0,1,7,0,2,❌ None
5,6,1,100.0,15,9720,3,🎯 Perfect Match (1/1),Step 2: Best Match,11,11,14,54,3,43,78.6%,20.4%,✅ Equal,68,22,46,15_Recombination events.csv|9720,9720,15_Recombination events.csv,1938,10000,['18'],1000,0.0002,0.02,0.1,5000,50,1939,9998,1939-9998,['18'],"['26', '28', '25']","['13', '27', '8']",1.0,2.0,3.0,100.0,,,,,🎯 Perfect (1/1),59.0,100.0,1/1,100.0,1.0,1.0,1/1,90,100.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,3,1938-10000,100.0%,100.0%,0,100.0,,,,,,,,,,100.0,99.7,0,1,1,0,3,❌ None
6,7,1,100.0,17,9922,7,Standard_Match,Step 1: Approximate,8,6,12,44,4,38,66.7%,13.6%,❌ Diff: RDP=8 vs Santa=6,56,14,42,17_Recombination events.csv|9922,9922,17_Recombination events.csv,3393,3765,['17'],1000,0.0002,0.02,0.1,5000,50,3394,3765,3394-3765,['17'],"['6', '14', '48', '12', '39', '45', '33', '27', '3', '32', '11']","['7', '34', '31', '30']",1.0,0.0,1.0,99.73118279569891,372.0,93.0,25.0,Exact Recombinant Match,,58.94623655913979,,,,,,,90,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,7,3393-3765,99.7%,100.0%,0,99.73118279569891,,,,,,,,,,100.0,99.9,0,1,7,0,7,❌ None
7,8,1,100.0,14,9946,8,Standard_Match,Step 1: Approximate,9,8,14,44,5,36,64.3%,18.2%,❌ Diff: RDP=9 vs Santa=8,58,17,41,14_Recombination events.csv|9946,9946,14_Recombination events.csv,7932,9567,['17'],1000,0.0002,0.02,0.1,5000,50,7933,9567,7933-9567,['17'],"['37', '43', '35', '39', '22', '10', '38']","['19', '41', '46']",1.0,0.0,1.0,99.9388379204893,1635.0,408.8,25.0,Exact Recombinant Match,,58.98776758409787,,,,,,,90,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,8,7932-9567,99.9%,100.0%,0,99.9388379204893,,,,,,,,,,100.0,99.9,0,1,7,0,8,❌ None
8,9,1,100.0,3,9883,7,Standard_Match,Step 1: Approximate,14,12,17,31,3,19,82.4%,38.7%,❌ Diff: RDP=14 vs Santa=12,48,26,22,3_Recombination events.csv|9883,9883,3_Recombination events.csv,2766,10000,"['28', '48']",1000,0.0002,0.02,0.1,5000,50,2766,9994,2766-9994,"['28', '48']","['41', '46']","['18', '24', '29']",0.0,6.0,6.0,99.91705833563726,2766.0,691.5,25.0,Exact Recombinant Match,,58.983411667127456,,,,,,,90,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,7,2766-10000,99.9%,100.0%,0,99.91705833563726,,,,,,,,,,100.0,99.4,0,1,7,0,7,❌ None
9,10,1,100.0,25,9995,3,⭐ Excellent Match (1/1),Step 2: Best Match,4,4,6,47,2,43,66.7%,8.5%,✅ Equal,53,8,45,25_Recombination events.csv|9995,9995,25_Recombination events.csv,4572,5457,['14'],1000,0.0002,0.02,0.1,5000,50,4571,5456,4571-5456,['14'],['40'],"['2', '48', '22', '24', '34', '28', '41', '3', '25']",1.0,1.0,2.0,99.9,,,,,🎯 Perfect (1/1),58.98,100.0,1/1,100.0,1.0,1.0,1/1,90,100.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,3,4572-5457,99.9%,100.0%,0,99.9,,,,,,,,,,100.0,99.8,0,1,2,0,3,❌ None
