,Global_Rank,Tag_Rank,Tag_Specific_Quality_Score,Tag,Santa_ID,RDP_Event_ID,Match_Type,Source_Tab,Tag_RDP_Count,Tag_Santa_Count,Tag_Original_RDP_Count,Tag_Original_Santa_Count,Tag_Remaining_RDP,Tag_Remaining_Santa,Tag_RDP_Match_Rate,Tag_Santa_Match_Rate,RDP_Santa_Equal,Tag_Total_Original,Tag_Total_Matched,Tag_Total_Remaining,SantaID,Santa_Event,Santa_Tag,Santa_INI,Santa_END,Santa_Recombinant,santa_popSize,santa_mutationRate,santa_recombProb,santa_dualInfectProb,santa_genCount,santa_sampleSize,RDP_INI,RDP_END,RDP_Breakpoints,RDP_Recombinant,RDP_Minor,RDP_Major,INI_Difference,END_Difference,Total_Difference,Overlap_Percentage,Fragment_Size,Dynamic_Tolerance,Tolerance_Percent,Validation,Recombinant_Match_Quality,Quality_Score,Jaccard_Similarity,Sequence_Ratio,Sequence_Coverage,Santa_Recombinant_Count,RDP_Recombinant_Count,Covered_Sequences,Breakpoint_Score,Overlap_Score,Santa_Breakpoint,Santa_Size,Santa_Seqs_Count,Tolerance,Max_End_Distance,Chain_Score,Start_Score,End_Score,Continuity_Score,Recombinant_Score,Seq_Ratio,Seq_Ratio_%,Reaches_Santa_End,RDP_Tags,Chain_Length,Chain_INI,Chain_END,Start_Distance,End_Distance,Total_Gap,Chain_Logic_Valid,Logic_Validation_Msg,Quality_Check,Coverage_Percentage,Valid,Minor/Major,Start_Anchor,End_Anchor,Full_Coverage,Pre_Start_RDPs,Reaches_Start,Reaches_End,RDP_Num,Santa_Breakpoints,Display_Coverage,Display_Seq_Ratio,Structural_Score,Coverage_Score,tag,Parent_Child_Type,Matched_Value,Breakpoint_Matches,Num_Breakpoint_Matches,Avg_Distance,Total_Distance,Start_Dist,End_Dist,Recombinant_Match_Score,Start_End_Diff_Score,Chain_Bonus,Step_Priority,Match_Type_Priority,Reaches_Priority,RDP_Set,Reaches_Status
0,1,1,100,1,2380,1,🎯 Perfect Match (1/1),Step 2: Best Match,3,3,3,8,0,5,100.0%,37.5%,✅ Equal,11,6,5,1_Recombination events.csv|2380,2380,1_Recombination events.csv,4785,8451,"['16', '5']",1000,0.0002,0.005,0.1,5000,50,4784,8450,4784-8450,"['16', '5']","['32', '17']",['15'],1,1,2,100,,,,,✅ Complete (2/2),59,100,2/2,100,2,2,2/2,90,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,4785-8451,100.0%,100.0%,0,100,,,,,,,,,,100,99.8,0,1,1,0,1,❌ None
1,2,1,100,10,2490,1,Standard_Match,Step 1: Approximate,1,1,1,5,0,4,100.0%,20.0%,✅ Equal,6,2,4,10_Recombination events.csv|2490,2490,10_Recombination events.csv,1995,3954,['28'],1000,0.0002,0.005,0.1,5000,50,1995,3954,1995-3954,['28'],"['29', '40', '33', '48']",['32'],0,0,0,100,1959,489.8,25,Exact Recombinant Match,,60,,,,,,,100,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,1995-3954,100.0%,100.0%,0,100,,,,,,,,,,100,100,0,1,7,0,1,❌ None
2,3,1,100,22,2452,1,🎯 Perfect Match (1/1),Step 2: Best Match,2,2,2,4,0,2,100.0%,50.0%,✅ Equal,6,4,2,22_Recombination events.csv|2452,2452,22_Recombination events.csv,6201,8940,"['13', '41']",1000,0.0002,0.005,0.1,5000,50,6202,8938,6202-8938,"['13', '41']",['43'],['31'],1,2,3,99.9,,,,,✅ Complete (2/2),58.980000000000004,100,2/2,100,2,2,2/2,90,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,6201-8940,99.9%,100.0%,0,99.9,,,,,,,,,,100,99.7,0,1,1,0,1,❌ None
3,4,1,100,16,2456,1,Standard_Match,Step 1: Approximate,2,2,3,14,1,12,66.7%,14.3%,✅ Equal,17,4,13,16_Recombination events.csv|2456,2456,16_Recombination events.csv,3072,10000,['9'],1000,0.0002,0.005,0.1,5000,50,3064,9996,3064-9996,['9'],"['19', '18', '11', '14', '32', '5']","['13', '43', '34']",8,4,12,99.94226327944573,3072,768,25,Exact Recombinant Match,,58.98845265588915,,,,,,,90,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,3072-10000,99.9%,100.0%,0,99.94226327944573,,,,,,,,,,100,98.8,0,1,7,0,1,❌ None
4,5,1,100,14,2508,1,Standard_Match,Step 1: Approximate,3,3,6,9,3,6,50.0%,33.3%,✅ Equal,15,6,9,14_Recombination events.csv|2508,2508,14_Recombination events.csv,4809,10000,['43'],1000,0.0002,0.005,0.1,5000,50,4810,9998,4810-9998,['43'],"['44', '20', '9']","['27', '14', '32', '13', '31', '34']",1,2,3,99.94220766711616,4809,1202.2,25,Exact Recombinant Match,,58.988441533423234,,,,,,,90,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,4809-10000,99.9%,100.0%,0,99.94220766711616,,,,,,,,,,100,99.7,0,1,7,0,1,❌ None
5,6,1,100,15,2458,1,⭐ Excellent Match (1/1),Step 2: Best Match,2,2,2,10,0,8,100.0%,20.0%,✅ Equal,12,4,8,15_Recombination events.csv|2458,2458,15_Recombination events.csv,2400,5397,['33'],1000,0.0002,0.005,0.1,5000,50,2394,5396,2394-5396,['33'],"['28', '19', '12', '21', '27', '35', '36', '44']","['10', '22', '43', '9', '42', '14', '32', '16', '5', '50']",6,1,7,100,,,,,🎯 Perfect (1/1),59,100,1/1,100,1,1,1/1,90,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,2400-5397,100.0%,100.0%,0,100,,,,,,,,,,100,99.3,0,1,2,0,1,❌ None
6,7,1,100,13,2398,1,🎯 Perfect Match (1/1),Step 2: Best Match,2,2,4,6,2,4,50.0%,33.3%,✅ Equal,10,4,6,13_Recombination events.csv|2398,2398,13_Recombination events.csv,6180,9645,['46'],1000,0.0002,0.005,0.1,5000,50,6183,9643,6183-9643,['46'],"['10', '2', '20', '15', '41']","['26', '38', '47', '40', '9', '14']",3,2,5,99.9,,,,,🎯 Perfect (1/1),58.980000000000004,100,1/1,100,1,1,1/1,90,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,6180-9645,99.9%,100.0%,0,99.9,,,,,,,,,,100,99.5,0,1,1,0,1,❌ None
7,8,1,100,12,2436,1,⭐ Excellent Match (1/1),Step 2: Best Match,4,4,4,10,0,6,100.0%,40.0%,✅ Equal,14,8,6,12_Recombination events.csv|2436,2436,12_Recombination events.csv,6066,10000,['6'],1000,0.0002,0.005,0.1,5000,50,6065,9980,6065-9980,['6'],"['10', '33', '27', '11', '20']","['38', '30']",1,20,21,99.5,,,,,🎯 Perfect (1/1),56.900000000000006,100,1/1,100,1,1,1/1,70,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,6066-10000,99.5%,100.0%,0,99.5,,,,,,,,,,100,97.9,0,1,2,0,1,❌ None
8,9,1,100,21,2513,2,Standard_Match,Step 1: Approximate,4,4,4,14,0,10,100.0%,28.6%,✅ Equal,18,8,10,21_Recombination events.csv|2513,2513,21_Recombination events.csv,4743,6006,['16'],1000,0.0002,0.005,0.1,5000,50,4743,6006,4743-6006,['16'],['49'],['32'],0,0,0,100,1263,315.8,25,Exact Recombinant Match,,60,,,,,,,100,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,2,4743-6006,100.0%,100.0%,0,100,,,,,,,,,,100,100,0,1,7,0,2,❌ None
9,10,1,100,19,2526,1,🎯 Perfect Match (1/1),Step 2: Best Match,2,2,2,8,0,6,100.0%,25.0%,✅ Equal,10,4,6,19_Recombination events.csv|2526,2526,19_Recombination events.csv,5484,6225,['47'],1000,0.0002,0.005,0.1,5000,50,5484,6224,5484-6224,['47'],"['15', '48']","['8', '19']",0,1,1,99.9,,,,,🎯 Perfect (1/1),58.980000000000004,100,1/1,100,1,1,1/1,90,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,5484-6225,99.9%,100.0%,0,99.9,,,,,,,,,,100,99.9,0,1,1,0,1,❌ None
